domain,subject,level,pca1,pca2,tsne1,tsne2
CAMRI,015,level1,0.8466013353208585,-5.254981405527802,-46.8331,43.076664
CAMRI,106,level1,6.910531452362087,1.6401207904587807,-10.950876,-73.76615
CAMRI,058,level1,6.375605570221616,0.6345968784652283,-13.048555,-74.74421
CAMRI,062,level1,7.630811779690665,2.5263972458095827,-8.872519,-78.26956
CAMRI,121,level1,-0.9055668807261534,-4.942459624660871,-43.174366,48.118336
CAMRI,041,level1,1.4474460410252592,-3.769732216167107,-44.337463,36.661835
CAMRI,013,level1,1.1991487352430146,-4.568006318405469,-46.74208,40.786266
CAMRI,130,level1,-1.4248796895862976,-5.783545049166755,-41.57014,46.083668
CAMRI,129,level1,-1.3754630538632107,-5.244834145236323,-41.399273,47.928024
CAMRI,124,level1,-0.11986887159657597,-5.199989023131682,-43.97895,43.696373
CAMRI,104,level1,0.44632118017969413,-4.091483537570573,-45.66497,35.43566
CAMRI,011,level1,0.8693602829228007,-4.6833636521668645,-45.218258,41.034203
CAMRI,101,level1,1.2628392008801663,-3.7614983506158763,-45.870834,37.538177
CAMRI,122,level1,-0.341130032691452,-5.363018119582543,-43.667572,45.06668
Mouse,POLYIC_20190524_polyic___E3_P1,level1,-1.9891745438500614,2.469462113776095,38.11912,4.705744
Mouse,POLYIC_20190517_mouse31__E3_P1,level1,-2.196557786542944,3.262186529876092,39.984917,4.528782
Mouse,POLYIC_20190614_polyic___E3_P1_1,level1,-2.4067656299117948,2.660735217781207,34.704185,-1.1166742
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,level1,-2.9442905239735495,2.2207325598271703,33.104973,1.2431135
Mouse,POLYIC_20190524_polyic___E3_P1_3,level1,-3.2620200549950864,2.8199158670306024,32.061325,-0.8888253
Mouse,POLYIC_20190531_polyic_m__E3_P1_9,level1,-2.386113723076178,2.447294006945876,36.153393,0.19567558
