domain,subject,threshold,dice,precision,recall,volume_ratio
CAMRI,101,0.7,0.9884865315190225,0.9950631779045063,0.981996248068859,0.9868682410064004
CAMRI,122,0.3,0.9890883234428267,0.9865903938698943,0.9915989340439707,1.005076615589607
CAMRI,122,0.4,0.9891716458898524,0.9884642251272329,0.9898800799467022,1.0014323784143904
CAMRI,122,0.5,0.9891854939558149,0.9902587214154566,0.9881145902731512,0.9978347768154564
CAMRI,122,0.6,0.9888903734384394,0.9916063772775991,0.9861892071952032,0.9945369753497668
CAMRI,122,0.7,0.9884680512144354,0.9930474307768857,0.9839307128580946,0.990819453697535
Mouse,POLYIC_20190524_polyic___E3_P1,0.3,0.6397011607804396,0.477631894373859,0.9682441777877463,2.0271765541475086
Mouse,POLYIC_20190524_polyic___E3_P1,0.4,0.6514963574887136,0.49123123522318335,0.9669731972636537,1.9684684684684686
Mouse,POLYIC_20190524_polyic___E3_P1,0.5,0.6623816878031901,0.5039835392551708,0.9659825800904639,1.916694703001757
Mouse,POLYIC_20190524_polyic___E3_P1,0.6,0.6725829782243247,0.516264554075141,0.964674217786251,1.8685656610967813
Mouse,POLYIC_20190524_polyic___E3_P1,0.7,0.6831586692385706,0.5292885095368687,0.963160255691376,1.8197263653695188
Mouse,POLYIC_20190517_mouse31__E3_P1,0.3,0.6655555129826175,0.5066206494264048,0.9697956601034726,1.9142442401459039
Mouse,POLYIC_20190517_mouse31__E3_P1,0.4,0.6787701661567366,0.5225654161016523,0.968176573491644,1.8527375590873563
Mouse,POLYIC_20190517_mouse31__E3_P1,0.5,0.6904315695734812,0.5369650609882158,0.9667249785982804,1.8003498715896824
Mouse,POLYIC_20190517_mouse31__E3_P1,0.6,0.7016542065559351,0.5512219493786608,0.965012841031749,1.7506792719693305
Mouse,POLYIC_20190517_mouse31__E3_P1,0.7,0.7137067313657104,0.5667666506108509,0.9635054155655637,1.700003722038188
Mouse,POLYIC_20190614_polyic___E3_P1_1,0.3,0.6320804480308863,0.4650772940476977,0.9862186110040977,2.120547753300879
Mouse,POLYIC_20190614_polyic___E3_P1_1,0.4,0.6470781031677122,0.48171739223492144,0.9853080236752706,2.0454067873778587
Mouse,POLYIC_20190614_polyic___E3_P1_1,0.5,0.6599666564914176,0.49638826583776335,0.9843449024620881,1.9830140440584176
Mouse,POLYIC_20190614_polyic___E3_P1_1,0.6,0.6728494913548294,0.5113835057555005,0.9833292473645502,1.9228802577662591
Mouse,POLYIC_20190614_polyic___E3_P1_1,0.7,0.6864202970387913,0.5275757946325266,0.9821209680243758,1.8615732147234967
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,0.3,0.646564002678191,0.4854933362584325,0.967572688187714,1.9929680099103695
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,0.4,0.6601236004705033,0.5013281405087582,0.9661517160970633,1.927184289149603
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,0.5,0.6715954195569195,0.5150648693859291,0.9648036143700357,1.8731691321139692
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,0.6,0.6828729567222305,0.5289609285106809,0.9631093784157982,1.8207571230780442
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,0.7,0.6947874160852968,0.5438854999587833,0.9615791007797129,1.7679807622240036
Mouse,POLYIC_20190524_polyic___E3_P1_3,0.3,0.6475877678549462,0.48292848493743806,0.982622816186352,2.0347170374794685
Mouse,POLYIC_20190524_polyic___E3_P1_3,0.4,0.6606318355142066,0.49788374317069245,0.9814469165297894,1.9712371210989996
Mouse,POLYIC_20190524_polyic___E3_P1_3,0.5,0.6722989189915708,0.5115665208879192,0.9803083470210542,1.9162871434970883
Mouse,POLYIC_20190524_polyic___E3_P1_3,0.6,0.6833529860129381,0.5248741530978853,0.978927131551441,1.8650701806779155
Mouse,POLYIC_20190524_polyic___E3_P1_3,0.7,0.6948718628959516,0.538940329218107,0.977769896968792,1.8142451844109302
Mouse,POLYIC_20190531_polyic_m__E3_P1_9,0.3,0.6376777008829646,0.4706765529851873,0.9883577567986473,2.0998661406227983
Mouse,POLYIC_20190531_polyic_m__E3_P1_9,0.4,0.6530498139185434,0.4878396839623052,0.9874594899253205,2.024147527124137
