domain,subject,region,bin_center,density
CAMRI,002,whole,0.17000000178813934,0.7819489416952644
CAMRI,002,whole,0.1899999976158142,0.6557465967603379
CAMRI,002,whole,0.21000000834465027,0.5562465556579597
CAMRI,002,whole,0.22999998927116394,0.484911701909162
CAMRI,002,whole,0.25,0.43290465167162506
CAMRI,002,whole,0.26999998092651367,0.4061378843442027
CAMRI,002,whole,0.2900000214576721,0.3552752814206958
CAMRI,002,whole,0.3100000023841858,0.31674733169619085
CAMRI,002,whole,0.32999998331069946,0.2709705170749831
CAMRI,002,whole,0.3500000238418579,0.25685614476370994
CAMRI,002,whole,0.3700000047683716,0.2368293477656184
CAMRI,002,whole,0.38999998569488525,0.2418516769012754
CAMRI,002,whole,0.4099999964237213,0.24999006588306352
CAMRI,002,whole,0.4300000071525574,0.26842738692880774
CAMRI,002,whole,0.44999998807907104,0.2761839338746426
CAMRI,002,whole,0.4699999988079071,0.3042859754110738
CAMRI,002,whole,0.49000000953674316,0.30816379546279754
CAMRI,002,whole,0.5099999904632568,0.3117882205215014
CAMRI,002,whole,0.5299999713897705,0.31299527634147434
CAMRI,002,whole,0.550000011920929,0.3012977930365814
CAMRI,002,whole,0.5699999928474426,0.29824603231369556
CAMRI,002,whole,0.5900000333786011,0.2986266124265498
CAMRI,002,whole,0.6100000143051147,0.27675655055670795
CAMRI,002,whole,0.6299999952316284,0.2721153311239857
CAMRI,002,whole,0.6499999761581421,0.2687448777362202
CAMRI,002,whole,0.6700000166893005,0.2667747498589355
CAMRI,002,whole,0.6899999976158142,0.25768304603867154
CAMRI,002,whole,0.7100000381469727,0.25488483909262044
CAMRI,002,whole,0.7300000190734863,0.2442680145276526
CAMRI,002,whole,0.75,0.23269675512004387
CAMRI,002,whole,0.7699999809265137,0.21909098856384457
CAMRI,002,whole,0.7899999618530273,0.21120664391760668
CAMRI,002,whole,0.8100000023841858,0.19912738716829984
CAMRI,002,whole,0.8299999833106995,0.18793759785105182
CAMRI,002,whole,0.8500000238418579,0.17197891986668457
CAMRI,002,whole,0.8700000047683716,0.16358709041635872
CAMRI,002,whole,0.8899999856948853,0.1441321158079616
CAMRI,002,whole,0.9099999666213989,0.13497643137780824
CAMRI,002,whole,0.9300000071525574,0.12111675368953102
CAMRI,002,whole,0.949999988079071,0.11068990455300448
CAMRI,002,whole,0.9700000286102295,0.0995633968618218
CAMRI,002,whole,0.9900000095367432,0.5891805545621439
CAMRI,002,brain,0.009999999776482582,0.00650249786946795
CAMRI,002,brain,0.029999999329447746,0.01874249385905468
CAMRI,002,brain,0.04999999701976776,0.028687490600593897
CAMRI,002,brain,0.07000000029802322,0.03671998796876019
CAMRI,002,brain,0.09000000357627869,0.042074978377128765
CAMRI,002,brain,0.10999999940395355,0.06425999091468663
CAMRI,002,brain,0.12999999523162842,0.07802995989940245
CAMRI,002,brain,0.15000000596046448,0.11895748318135442
CAMRI,002,brain,0.17000000178813934,0.15911985894947545
CAMRI,002,brain,0.1899999976158142,0.2084624705268108
CAMRI,002,brain,0.21000000834465027,0.26048246317203333
CAMRI,002,brain,0.22999998927116394,0.3186224549519879
CAMRI,002,brain,0.25,0.39779994375758393
CAMRI,002,brain,0.26999998092651367,0.4689445843078291
CAMRI,002,brain,0.2900000214576721,0.5638045002200164
CAMRI,002,brain,0.3100000023841858,0.6498678923087725
CAMRI,002,brain,0.32999998331069946,0.675111901552462
CAMRI,002,brain,0.3500000238418579,0.8353792594847461
CAMRI,002,brain,0.3700000047683716,0.9375080659498537
CAMRI,002,brain,0.38999998569488525,1.1000690248526237
CAMRI,002,brain,0.4099999964237213,1.262250761988787
CAMRI,002,brain,0.4300000071525574,1.4416412220686852
CAMRI,002,brain,0.44999998807907104,1.5368836376418087
CAMRI,002,brain,0.4699999988079071,1.72469354115377
CAMRI,002,brain,0.49000000953674316,1.7537609453926564
CAMRI,002,brain,0.5099999904632568,1.802341088027626
CAMRI,002,brain,0.5299999713897705,1.824903163010636
CAMRI,002,brain,0.550000011920929,1.7713585693242646
CAMRI,002,brain,0.5699999928474426,1.7556760598571313
CAMRI,002,brain,0.5900000333786011,1.7602608166369622
CAMRI,002,brain,0.6100000143051147,1.6367184880454608
CAMRI,002,brain,0.6299999952316284,1.6072659702657224
CAMRI,002,brain,0.6499999761581421,1.5927262147927663
