domain,subject,level,zone,mean_attention,voxel_count
CAMRI,122,level1,true_positive,7.1231402216653805e-06,148316
CAMRI,122,level1,false_positive,3.2909581477724714e-06,1459
CAMRI,122,level1,false_negative,3.304457322883536e-06,1784
CAMRI,122,level1,true_background,2.806946667988086e-06,2469881
Mouse,POLYIC_20190524_polyic___E3_P1,level4,true_positive,0.0015828730538487434,51682
Mouse,POLYIC_20190524_polyic___E3_P1,level4,false_positive,0.0015669927233830094,50865
Mouse,POLYIC_20190524_polyic___E3_P1,level4,false_negative,0.001575188827700913,1820
Mouse,POLYIC_20190524_polyic___E3_P1,level4,true_background,0.0015619815094396472,2517073
Mouse,POLYIC_20190524_polyic___E3_P1,level3,true_positive,0.00024035543901845813,51682
Mouse,POLYIC_20190524_polyic___E3_P1,level3,false_positive,0.00018413367797620595,50865
Mouse,POLYIC_20190524_polyic___E3_P1,level3,false_negative,0.00017632232629694045,1820
Mouse,POLYIC_20190524_polyic___E3_P1,level3,true_background,0.00019462715135887265,2517073
Mouse,POLYIC_20190524_polyic___E3_P1,level2,true_positive,3.394364466657862e-05,51682
Mouse,POLYIC_20190524_polyic___E3_P1,level2,false_positive,2.452718217682559e-05,50865
Mouse,POLYIC_20190524_polyic___E3_P1,level2,false_negative,2.398414108029101e-05,1820
Mouse,POLYIC_20190524_polyic___E3_P1,level2,true_background,2.4216418751166202e-05,2517073
Mouse,POLYIC_20190524_polyic___E3_P1,level1,true_positive,1.1541653293534182e-05,51682
Mouse,POLYIC_20190524_polyic___E3_P1,level1,false_positive,4.258659828337841e-06,50865
Mouse,POLYIC_20190524_polyic___E3_P1,level1,false_negative,4.196011559542967e-06,1820
Mouse,POLYIC_20190524_polyic___E3_P1,level1,true_background,2.8522197226266144e-06,2517073
Mouse,POLYIC_20190517_mouse31__E3_P1,level4,true_positive,0.0015823639696463943,51946
Mouse,POLYIC_20190517_mouse31__E3_P1,level4,false_positive,0.0015654065646231174,44794
Mouse,POLYIC_20190517_mouse31__E3_P1,level4,false_negative,0.0015767802251502872,1788
Mouse,POLYIC_20190517_mouse31__E3_P1,level4,true_background,0.0015620291233062744,2522912
Mouse,POLYIC_20190517_mouse31__E3_P1,level3,true_positive,0.0002139448479283601,51946
Mouse,POLYIC_20190517_mouse31__E3_P1,level3,false_positive,0.00018399131658952683,44794
Mouse,POLYIC_20190517_mouse31__E3_P1,level3,false_negative,0.00017018202925100923,1788
Mouse,POLYIC_20190517_mouse31__E3_P1,level3,true_background,0.00019514768791850656,2522912
Mouse,POLYIC_20190517_mouse31__E3_P1,level2,true_positive,3.3086846087826416e-05,51946
Mouse,POLYIC_20190517_mouse31__E3_P1,level2,false_positive,2.4408698664046824e-05,44794
Mouse,POLYIC_20190517_mouse31__E3_P1,level2,false_negative,2.3893862817203626e-05,1788
Mouse,POLYIC_20190517_mouse31__E3_P1,level2,true_background,2.423594742140267e-05,2522912
Mouse,POLYIC_20190517_mouse31__E3_P1,level1,true_positive,1.1408670616219752e-05,51946
Mouse,POLYIC_20190517_mouse31__E3_P1,level1,false_positive,4.270212684787111e-06,44794
Mouse,POLYIC_20190517_mouse31__E3_P1,level1,false_negative,3.669780198833905e-06,1788
Mouse,POLYIC_20190517_mouse31__E3_P1,level1,true_background,2.8576209842867684e-06,2522912
Mouse,POLYIC_20190614_polyic___E3_P1_1,level4,true_positive,0.0015790237812325358,56212
Mouse,POLYIC_20190614_polyic___E3_P1_1,level4,false_positive,0.0015647936379536986,57030
Mouse,POLYIC_20190614_polyic___E3_P1_1,level4,false_negative,0.001575515023432672,894
Mouse,POLYIC_20190614_polyic___E3_P1_1,level4,true_background,0.0015620730118826032,2507304
Mouse,POLYIC_20190614_polyic___E3_P1_1,level3,true_positive,0.00025058200117200613,56212
Mouse,POLYIC_20190614_polyic___E3_P1_1,level3,false_positive,0.0001904717501020059,57030
Mouse,POLYIC_20190614_polyic___E3_P1_1,level3,false_negative,0.00018939145957119763,894
Mouse,POLYIC_20190614_polyic___E3_P1_1,level3,true_background,0.00019418555893935263,2507304
Mouse,POLYIC_20190614_polyic___E3_P1_1,level2,true_positive,3.3923013688763604e-05,56212
Mouse,POLYIC_20190614_polyic___E3_P1_1,level2,false_positive,2.4189796022255905e-05,57030
Mouse,POLYIC_20190614_polyic___E3_P1_1,level2,false_negative,2.418809526716359e-05,894
Mouse,POLYIC_20190614_polyic___E3_P1_1,level2,true_background,2.4206068701460026e-05,2507304
Mouse,POLYIC_20190614_polyic___E3_P1_1,level1,true_positive,1.0622379704727791e-05,56212
Mouse,POLYIC_20190614_polyic___E3_P1_1,level1,false_positive,4.13151474276674e-06,57030
Mouse,POLYIC_20190614_polyic___E3_P1_1,level1,false_negative,4.0969657675304916e-06,894
Mouse,POLYIC_20190614_polyic___E3_P1_1,level1,true_background,2.857096433217521e-06,2507304
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,level4,true_positive,0.0015826891176402569,52960
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,level4,false_positive,0.001565265003591776,49862
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,level4,false_negative,0.0015768002485856414,1932
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,level4,true_background,0.0015620086342096329,2516686
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,level3,true_positive,0.00025974842719733715,52960
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,level3,false_positive,0.00019136549963150173,49862
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,level3,false_negative,0.00018478189304005355,1932
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,level3,true_background,0.00019404286285862327,2516686
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,level2,true_positive,3.5132296034134924e-05,52960
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,level2,false_positive,2.4439837943646125e-05,49862
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,level2,false_negative,2.3805710952728987e-05,1932
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,level2,true_background,2.4188468159991316e-05,2516686
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,level1,true_positive,1.0929034942819271e-05,52960
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,level1,false_positive,4.1626735765021294e-06,49862
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,level1,false_negative,3.914537046512123e-06,1932
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,level1,true_background,2.8633194233407266e-06,2516686
Mouse,POLYIC_20190524_polyic___E3_P1_3,level4,true_positive,0.0015814423095434904,52521
Mouse,POLYIC_20190524_polyic___E3_P1_3,level4,false_positive,0.0015656730392947793,50146
Mouse,POLYIC_20190524_polyic___E3_P1_3,level4,false_negative,0.0015735492343083024,1055
Mouse,POLYIC_20190524_polyic___E3_P1_3,level4,true_background,0.0015620370395481586,2517718
Mouse,POLYIC_20190524_polyic___E3_P1_3,level3,true_positive,0.00023823587980587035,52521
Mouse,POLYIC_20190524_polyic___E3_P1_3,level3,false_positive,0.00019624717242550105,50146
Mouse,POLYIC_20190524_polyic___E3_P1_3,level3,false_negative,0.00017975149967242032,1055
Mouse,POLYIC_20190524_polyic___E3_P1_3,level3,true_background,0.0001944050018209964,2517718
Mouse,POLYIC_20190524_polyic___E3_P1_3,level2,true_positive,3.497191937640309e-05,52521
Mouse,POLYIC_20190524_polyic___E3_P1_3,level2,false_positive,2.4619477699161507e-05,50146
Mouse,POLYIC_20190524_polyic___E3_P1_3,level2,false_negative,2.3958267775014974e-05,1055
Mouse,POLYIC_20190524_polyic___E3_P1_3,level2,true_background,2.4189914256567135e-05,2517718
Mouse,POLYIC_20190524_polyic___E3_P1_3,level1,true_positive,1.1116198038507719e-05,52521
Mouse,POLYIC_20190524_polyic___E3_P1_3,level1,false_positive,4.009481017419603e-06,50146
Mouse,POLYIC_20190524_polyic___E3_P1_3,level1,false_negative,3.4954582588397898e-06,1055
Mouse,POLYIC_20190524_polyic___E3_P1_3,level1,true_background,2.8642698453040794e-06,2517718
Mouse,POLYIC_20190531_polyic_m__E3_P1_9,level4,true_positive,0.001581539516337216,56027
Mouse,POLYIC_20190531_polyic_m__E3_P1_9,level4,false_positive,0.0015649738488718867,55207
Mouse,POLYIC_20190531_polyic_m__E3_P1_9,level4,false_negative,0.0015758188674226403,749
Mouse,POLYIC_20190531_polyic_m__E3_P1_9,level4,true_background,0.0015620156191289425,2509457
Mouse,POLYIC_20190531_polyic_m__E3_P1_9,level3,true_positive,0.0002533117076382041,56027
Mouse,POLYIC_20190531_polyic_m__E3_P1_9,level3,false_positive,0.0001869766419986263,55207
Mouse,POLYIC_20190531_polyic_m__E3_P1_9,level3,false_negative,0.00019182369578629732,749
Mouse,POLYIC_20190531_polyic_m__E3_P1_9,level3,true_background,0.00019420198805164546,2509457
Mouse,POLYIC_20190531_polyic_m__E3_P1_9,level2,true_positive,3.421457950025797e-05,56027
Mouse,POLYIC_20190531_polyic_m__E3_P1_9,level2,false_positive,2.435793612676207e-05,55207
