task,transform,self_consistency_dice,transformed_vs_expert_dice,baseline_vs_expert_dice,accuracy_delta,subject
lesion,axis0_+10deg,0.6837286724927174,0.16012145748987855,0.25741283805799936,-0.09729138056812081,20170628CH_Exp6_ZFPtm1a_M18
lesion,axis0_+20deg,0.5125909895730868,0.10079777130555907,0.25741283805799936,-0.1566150667524403,20170628CH_Exp6_ZFPtm1a_M18
lesion,axis0_+30deg,0.4039160197330682,0.07394382490398409,0.25741283805799936,-0.18346901315401526,20170628CH_Exp6_ZFPtm1a_M18
lesion,axis1_+5deg,0.758654000966028,0.2009132420091324,0.25741283805799936,-0.05649959604886695,20170628CH_Exp6_ZFPtm1a_M18
lesion,axis1_+10deg,0.7297568506368197,0.18747772365450874,0.25741283805799936,-0.06993511440349062,20170628CH_Exp6_ZFPtm1a_M18
lesion,axis1_+20deg,0.586260241792242,0.12342237708091366,0.25741283805799936,-0.1339904609770857,20170628CH_Exp6_ZFPtm1a_M18
lesion,axis1_+30deg,0.47248309967787305,0.09141290064560362,0.25741283805799936,-0.16599993741239574,20170628CH_Exp6_ZFPtm1a_M18
lesion,axis2_+5deg,0.787624140565317,0.18521983161833488,0.25741283805799936,-0.07219300643966448,20170628CH_Exp6_ZFPtm1a_M18
lesion,axis2_+10deg,0.7582015231400118,0.1730642684799298,0.25741283805799936,-0.08434856957806955,20170628CH_Exp6_ZFPtm1a_M18
lesion,axis2_+20deg,0.6580645161290323,0.1408653413690744,0.25741283805799936,-0.11654749668892497,20170628CH_Exp6_ZFPtm1a_M18
lesion,axis2_+30deg,0.6026478375992939,0.12555189853094645,0.25741283805799936,-0.1318609395270529,20170628CH_Exp6_ZFPtm1a_M18
lesion,resampling_floor,0.9999330342195138,0.1767793920156269,0.1768009768009768,-2.1584785349915148e-05,20170628CH_Exp6_ZFPtm1a_M21
lesion,axis0_+5deg,0.7690223526755475,0.13194824129761254,0.1768009768009768,-0.04485273550336427,20170628CH_Exp6_ZFPtm1a_M21
lesion,axis0_+10deg,0.7234977250143821,0.1169722917844737,0.1768009768009768,-0.05982868501650311,20170628CH_Exp6_ZFPtm1a_M21
lesion,axis0_+20deg,0.5634313648190491,0.07774914089347079,0.1768009768009768,-0.09905183590750602,20170628CH_Exp6_ZFPtm1a_M21
lesion,axis0_+30deg,0.45233958048901574,0.05681550655261712,0.1768009768009768,-0.11998547024835969,20170628CH_Exp6_ZFPtm1a_M21
lesion,axis1_+5deg,0.7987592089957348,0.1658268437929455,0.1768009768009768,-0.010974133008031323,20170628CH_Exp6_ZFPtm1a_M21
lesion,axis1_+10deg,0.7485949359754331,0.13768184843586573,0.1768009768009768,-0.03911912836511108,20170628CH_Exp6_ZFPtm1a_M21
lesion,axis1_+20deg,0.6095441785857506,0.09222342525953761,0.1768009768009768,-0.0845775515414392,20170628CH_Exp6_ZFPtm1a_M21
lesion,axis1_+30deg,0.5042022595756407,0.06496186630776132,0.1768009768009768,-0.11183911049321549,20170628CH_Exp6_ZFPtm1a_M21
lesion,axis2_+5deg,0.7947569271611084,0.12770085545462562,0.1768009768009768,-0.049100121346351194,20170628CH_Exp6_ZFPtm1a_M21
lesion,axis2_+10deg,0.7584798150835886,0.1220807689065003,0.1768009768009768,-0.054720207894476514,20170628CH_Exp6_ZFPtm1a_M21
lesion,axis2_+20deg,0.6938414694037913,0.10631424375917768,0.1768009768009768,-0.07048673304179913,20170628CH_Exp6_ZFPtm1a_M21
lesion,axis2_+30deg,0.6056005832154038,0.08734994269168124,0.1768009768009768,-0.08945103410929557,20170628CH_Exp6_ZFPtm1a_M21
lesion,resampling_floor,1.0,0.5440162271805273,0.5440162271805273,0.0,20170629CH_Exp6_ZFPtm1a_M23
lesion,axis0_+5deg,0.8587176999735426,0.49924755455229497,0.5440162271805273,-0.044768672628232364,20170629CH_Exp6_ZFPtm1a_M23
lesion,axis0_+10deg,0.8175194433074089,0.45028248587570624,0.5440162271805273,-0.0937337413048211,20170629CH_Exp6_ZFPtm1a_M23
lesion,axis0_+20deg,0.6973079004329005,0.3480164637884228,0.5440162271805273,-0.1959997633921045,20170629CH_Exp6_ZFPtm1a_M23
lesion,axis0_+30deg,0.6062051134731399,0.28497150997151,0.5440162271805273,-0.25904471720901734,20170629CH_Exp6_ZFPtm1a_M23
lesion,axis1_+5deg,0.8557290333589285,0.48049305887984683,0.5440162271805273,-0.0635231683006805,20170629CH_Exp6_ZFPtm1a_M23
lesion,axis1_+10deg,0.8560287416754294,0.4973281968435442,0.5440162271805273,-0.046688030336983155,20170629CH_Exp6_ZFPtm1a_M23
lesion,axis1_+20deg,0.7524012024341961,0.38981896048277204,0.5440162271805273,-0.1541972666977553,20170629CH_Exp6_ZFPtm1a_M23
lesion,axis1_+30deg,0.658731391988066,0.31547923134357686,0.5440162271805273,-0.22853699583695047,20170629CH_Exp6_ZFPtm1a_M23
lesion,axis2_+5deg,0.893039350516836,0.5055973689203719,0.5440162271805273,-0.03841885826015545,20170629CH_Exp6_ZFPtm1a_M23
lesion,axis2_+10deg,0.870990176475702,0.48918653231752274,0.5440162271805273,-0.0548296948630046,20170629CH_Exp6_ZFPtm1a_M23
lesion,axis2_+20deg,0.8196654758038324,0.4431907049491677,0.5440162271805273,-0.10082552223135965,20170629CH_Exp6_ZFPtm1a_M23
lesion,axis2_+30deg,0.7151711711711711,0.3741198858230257,0.5440162271805273,-0.16989634135750165,20170629CH_Exp6_ZFPtm1a_M23
lesion,resampling_floor,0.9999116997792494,0.4727394060727394,0.4726059392726059,0.000133466800133486,20170629CH_Exp6_ZFPtm1a_M32
lesion,axis0_+5deg,0.8374873036956012,0.3887804606033569,0.4726059392726059,-0.083825478669249,20170629CH_Exp6_ZFPtm1a_M32
lesion,axis0_+10deg,0.8005885015844273,0.3626811017353925,0.4726059392726059,-0.10992483753721344,20170629CH_Exp6_ZFPtm1a_M32
lesion,axis0_+20deg,0.6756186456934586,0.2845889975860755,0.4726059392726059,-0.18801694168653044,20170629CH_Exp6_ZFPtm1a_M32
lesion,axis0_+30deg,0.5928864569083447,0.24026311234204603,0.4726059392726059,-0.23234282693055988,20170629CH_Exp6_ZFPtm1a_M32
lesion,axis1_+5deg,0.8505191982612895,0.4135964146440836,0.4726059392726059,-0.059009524628522325,20170629CH_Exp6_ZFPtm1a_M32
lesion,axis1_+10deg,0.8213839425179631,0.40294265173047983,0.4726059392726059,-0.06966328754212608,20170629CH_Exp6_ZFPtm1a_M32
lesion,axis1_+20deg,0.7212599456468354,0.31718831963630006,0.4726059392726059,-0.15541761963630585,20170629CH_Exp6_ZFPtm1a_M32
lesion,axis1_+30deg,0.6449348916794757,0.27095763723150357,0.4726059392726059,-0.20164830204110235,20170629CH_Exp6_ZFPtm1a_M32
lesion,axis2_+5deg,0.8840562102620175,0.41249706365985433,0.4726059392726059,-0.06010887561275158,20170629CH_Exp6_ZFPtm1a_M32
lesion,axis2_+10deg,0.8702246964379362,0.40808222377949077,0.4726059392726059,-0.06452371549311514,20170629CH_Exp6_ZFPtm1a_M32
lesion,axis2_+20deg,0.7836958129900873,0.35052397914408134,0.4726059392726059,-0.12208196012852457,20170629CH_Exp6_ZFPtm1a_M32
lesion,axis2_+30deg,0.7239577998566015,0.3160377358490566,0.4726059392726059,-0.15656820342354932,20170629CH_Exp6_ZFPtm1a_M32
lesion,resampling_floor,0.999962469506474,0.9271328617263906,0.9270970235794357,3.583814695495846e-05,20170712CH_Exp7_ZFPtm1a_M06
lesion,axis0_+5deg,0.9588348488850319,0.9251758852567342,0.9270970235794357,-0.0019211383227014656,20170712CH_Exp7_ZFPtm1a_M06
lesion,axis0_+10deg,0.9516116856646788,0.9227000544365814,0.9270970235794357,-0.004396969142854257,20170712CH_Exp7_ZFPtm1a_M06
lesion,axis0_+20deg,0.9124887041388036,0.8808062776600096,0.9270970235794357,-0.04629074591942606,20170712CH_Exp7_ZFPtm1a_M06
lesion,axis0_+30deg,0.7446461824953445,0.7129673731840914,0.9270970235794357,-0.21412965039534426,20170712CH_Exp7_ZFPtm1a_M06
lesion,axis1_+5deg,0.9682647369214533,0.9325982295387483,0.9270970235794357,0.005501205959312583,20170712CH_Exp7_ZFPtm1a_M06
lesion,axis1_+10deg,0.9657370517928286,0.9345947847843934,0.9270970235794357,0.007497761204957709,20170712CH_Exp7_ZFPtm1a_M06
lesion,axis1_+20deg,0.9493932449186611,0.9206300065786928,0.9270970235794357,-0.006467017000742925,20170712CH_Exp7_ZFPtm1a_M06
lesion,axis1_+30deg,0.8821174684243219,0.8481667966810864,0.9270970235794357,-0.07893022689834928,20170712CH_Exp7_ZFPtm1a_M06
lesion,axis2_+5deg,0.9670700183568726,0.9282710190222634,0.9270970235794357,0.0011739954428277022,20170712CH_Exp7_ZFPtm1a_M06
lesion,axis2_+10deg,0.9632528324388789,0.9267731040835124,0.9270970235794357,-0.00032391949592325275,20170712CH_Exp7_ZFPtm1a_M06
lesion,axis2_+20deg,0.9568240439609734,0.9254282964388836,0.9270970235794357,-0.0016687271405521065,20170712CH_Exp7_ZFPtm1a_M06
lesion,axis2_+30deg,0.941123595505618,0.91328498688474,0.9270970235794357,-0.013812036694695662,20170712CH_Exp7_ZFPtm1a_M06
lesion,resampling_floor,1.0,0.9224066005376842,0.9224066005376842,0.0,20170713CH_Exp7_ZFPtm1a_M14
lesion,axis0_+5deg,0.9671324713769536,0.9283941366552709,0.9224066005376842,0.005987536117586734,20170713CH_Exp7_ZFPtm1a_M14
lesion,axis0_+10deg,0.9662024382836566,0.9257617470020064,0.9224066005376842,0.003355146464322223,20170713CH_Exp7_ZFPtm1a_M14
lesion,axis0_+20deg,0.9234712862281391,0.8770437325535025,0.9224066005376842,-0.045362867984181654,20170713CH_Exp7_ZFPtm1a_M14
lesion,axis0_+30deg,0.6540851286220313,0.6044967097245918,0.9224066005376842,-0.3179098908130924,20170713CH_Exp7_ZFPtm1a_M14
lesion,axis1_+5deg,0.9754476806903991,0.9205362527253328,0.9224066005376842,-0.0018703478123514028,20170713CH_Exp7_ZFPtm1a_M14
lesion,axis1_+10deg,0.9685583484495119,0.9213410104011887,0.9224066005376842,-0.0010655901364955422,20170713CH_Exp7_ZFPtm1a_M14
lesion,axis1_+20deg,0.8559118465703283,0.8075094477630135,0.9224066005376842,-0.11489715277467072,20170713CH_Exp7_ZFPtm1a_M14
lesion,axis1_+30deg,0.8018179896416869,0.744629179899122,0.9224066005376842,-0.17777742063856217,20170713CH_Exp7_ZFPtm1a_M14
lesion,axis2_+5deg,0.9746201657458563,0.9218561484918794,0.9224066005376842,-0.000550452045804839,20170713CH_Exp7_ZFPtm1a_M14
lesion,axis2_+10deg,0.9680341880341881,0.9124047378569461,0.9224066005376842,-0.010001862680738105,20170713CH_Exp7_ZFPtm1a_M14
lesion,axis2_+20deg,0.9642015005359057,0.9146358317593403,0.9224066005376842,-0.007770768778343928,20170713CH_Exp7_ZFPtm1a_M14
lesion,axis2_+30deg,0.936826537080076,0.8960856352338187,0.9224066005376842,-0.026320965303865518,20170713CH_Exp7_ZFPtm1a_M14
lesion,resampling_floor,0.9999606779127836,0.9149298170991068,0.9148909021309174,3.891496818941853e-05,20170713CH_Exp7_ZFPtm1a_M24
lesion,axis0_+5deg,0.9683514407179972,0.9130008942639356,0.9148909021309174,-0.001890007866981791,20170713CH_Exp7_ZFPtm1a_M24
lesion,axis0_+10deg,0.9645670849994061,0.9177307395663724,0.9148909021309174,0.002839837435455017,20170713CH_Exp7_ZFPtm1a_M24
