scan_id,mouse_id,timepoint,slice_index,dice,iou,false_positives,false_negatives,error,brain_voxels,brain_position,expert_foreground_present,prediction_foreground_present
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,5,0.8116299125292595,0.682977399958532,1521,8,1529,3302,first 20%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,6,0.8103211009174311,0.6811258916522075,1482,172,1654,3705,first 20%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,7,0.7979455797180636,0.6638181818181819,1678,171,1849,3822,middle 60%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,8,0.8273533136344449,0.7055435565154787,1590,46,1636,3966,middle 60%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,9,0.8440698374473209,0.7302083333333333,1537,17,1554,4223,middle 60%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,10,0.8673979984603541,0.7658453695836873,1333,45,1378,4552,middle 60%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,11,0.8898795409276297,0.8016062884483938,1113,48,1161,4739,middle 60%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,12,0.9135058823529412,0.8407830907830908,866,53,919,4906,middle 60%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,13,0.9339446107784432,0.8760751272599614,628,78,706,5069,middle 60%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,14,0.9402943106195519,0.8873164691314346,546,91,637,5107,middle 60%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,15,0.9367065317387304,0.8809482609448002,599,89,688,5180,middle 60%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,16,0.9380579843534285,0.8833420003466805,609,64,673,5160,middle 60%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,17,0.9418089220032066,0.890017825311943,564,53,617,5046,middle 60%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,18,0.9449168921530731,0.8955852720278439,520,50,570,4939,middle 60%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,19,0.9453996983408748,0.8964530892448512,498,45,543,4746,middle 60%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,20,0.9357914812460267,0.8793309438470729,541,65,606,4481,middle 60%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,21,0.9283322170127261,0.86625,580,62,642,4220,middle 60%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,22,0.9287159347851958,0.8669184625638747,555,44,599,3946,middle 60%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,23,0.9350949204720369,0.8781016622500603,470,36,506,3681,middle 60%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,24,0.9293014139717206,0.867939330543933,457,48,505,3367,middle 60%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,25,0.924724409448819,0.8599882835383714,432,46,478,2982,middle 60%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,26,0.8808812546676624,0.7871204537871205,567,71,638,2430,middle 60%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,27,0.8271521690267476,0.7052510540436949,605,164,769,2004,middle 60%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,28,0.8119841027208805,0.6834791559444159,564,51,615,1379,last 20%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,29,0.8371703641691084,0.7199424046076314,383,6,389,1006,last 20%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,30,0.9025239338555265,0.8223632038065027,167,57,224,1094,last 20%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,31,0.8990566037735849,0.81662382176521,130,84,214,1037,last 20%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,32,0.8687323943661972,0.7679282868525896,118,115,233,886,last 20%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,33,0.8180574555403557,0.6921296296296297,189,77,266,675,last 20%,True,True
POLYIC_20190510_mouse32__E2_P1,mouse-32,20190510,34,0.7293318233295584,0.5739750445632799,226,13,239,335,last 20%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,0,0.3730501161632924,0.22929416564667482,1889,0,1889,562,first 20%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,1,0.3597315436241611,0.2193126022913257,1908,0,1908,536,first 20%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,2,0.8798701298701299,0.7855072463768116,579,13,592,2181,first 20%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,3,0.9014418999151823,0.820568252007412,578,3,581,2660,first 20%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,4,0.9181873479318735,0.8487489457407928,511,27,538,3046,first 20%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,5,0.9092999856259882,0.8336847654190828,593,38,631,3201,first 20%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,6,0.9105933351395286,0.8358617259388212,551,109,660,3470,first 20%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,7,0.8989081567116249,0.8163789080727951,609,178,787,3677,middle 60%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,8,0.8959309494451295,0.8114809023899933,784,60,844,3693,middle 60%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,9,0.9051061388410786,0.8266610773422762,764,63,827,4007,middle 60%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,10,0.9109739973556633,0.8365034399028733,744,64,808,4198,middle 60%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,11,0.9304310712761417,0.8699122106943336,613,39,652,4399,middle 60%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,12,0.9469862018881626,0.8993103448275862,454,57,511,4621,middle 60%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,13,0.9624594155844156,0.9276354390768629,305,65,370,4808,middle 60%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,14,0.9668980782774927,0.9359174133229451,296,33,329,4838,middle 60%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,15,0.9653800238758456,0.933076923076923,316,32,348,4884,middle 60%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,16,0.9617346938775511,0.9262899262899262,372,18,390,4919,middle 60%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,17,0.9686789842900899,0.9392603947116306,299,18,317,4920,middle 60%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,18,0.9633997559983734,0.9293840721851706,334,26,360,4764,middle 60%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,19,0.9585699263932702,0.9204361873990307,357,37,394,4595,middle 60%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,20,0.9496737086605463,0.9041701769165965,419,36,455,4329,middle 60%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,21,0.9419699965112223,0.8903055616619037,459,40,499,4090,middle 60%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,22,0.9367865471952866,0.8810898175940891,476,39,515,3855,middle 60%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,23,0.9274042325207608,0.8646353646353646,503,39,542,3501,middle 60%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,24,0.9183466279912981,0.8490211853043711,523,40,563,3206,middle 60%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,25,0.9110212335692619,0.8365831012070566,474,54,528,2757,middle 60%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,26,0.8882377563834241,0.7989457831325302,463,71,534,2193,middle 60%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,27,0.8325543029969755,0.7131417804992934,565,44,609,1558,middle 60%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,28,0.7955963302752294,0.6605728214503351,515,42,557,1126,last 20%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,29,0.8446645655110311,0.7310989867498051,323,22,345,960,last 20%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,30,0.8867654085045389,0.7965665236051502,149,88,237,1016,last 20%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,31,0.8870246085011185,0.7969849246231155,94,108,202,901,last 20%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,32,0.8405594405594405,0.7249698431845597,100,128,228,729,last 20%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,33,0.7808930425752856,0.6405451448040886,158,53,211,429,last 20%,True,True
POLYIC_20190510_mouse34__E2_P1,mouse-34,20190510,34,0.8250728862973761,0.7022332506203474,104,16,120,299,last 20%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,0,0.3526985218288072,0.2141068447412354,1883,0,1883,513,first 20%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,1,0.5887615320100643,0.4171949286846276,1471,0,1471,1053,first 20%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,2,0.8685142738070432,0.7675874769797422,620,11,631,2095,first 20%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,3,0.8915500084331253,0.8043213633597078,596,47,643,2690,first 20%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,4,0.9041647313825669,0.8250918338513704,562,57,619,2977,first 20%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,5,0.9251399941055114,0.8607074307650123,436,72,508,3211,first 20%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,6,0.9011239152084223,0.8200414293112377,504,191,695,3358,first 20%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,7,0.9004121792314852,0.818863361547763,516,233,749,3619,middle 60%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,8,0.9090909090909091,0.8333333333333334,579,145,724,3765,middle 60%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,9,0.9199294532627866,0.8517308948399739,586,95,681,4007,middle 60%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,10,0.9191038516720009,0.8503165203185624,620,113,733,4277,middle 60%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,11,0.9310418445772843,0.8709806271220292,559,87,646,4448,middle 60%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,12,0.9433684210526316,0.8928073321378761,482,56,538,4537,middle 60%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,13,0.9618618002870617,0.9265257752320758,309,63,372,4754,middle 60%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,14,0.9659250350771698,0.9340957549912774,287,53,340,4872,middle 60%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,15,0.9596018735362998,0.9223410241980866,349,65,414,4982,middle 60%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,16,0.9606253618992473,0.9242339832869081,346,62,408,5039,middle 60%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,17,0.9623609095307208,0.9274524431182395,330,59,389,5032,middle 60%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,18,0.9528506608798579,0.9099472494348154,417,61,478,4891,middle 60%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,19,0.9451833937928255,0.8960641956438671,498,46,544,4736,middle 60%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,20,0.9366015099803495,0.8807624975685664,552,61,613,4589,middle 60%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,21,0.9245937161430119,0.8597622405802942,639,57,696,4324,middle 60%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,22,0.9286944540130899,0.8668810289389067,574,47,621,4091,middle 60%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,23,0.9226894988667842,0.8564749883122955,593,21,614,3685,middle 60%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,24,0.9289768794129863,0.8673733195449845,483,30,513,3385,middle 60%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,25,0.9228351406569228,0.8567259994163992,463,28,491,2964,middle 60%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,26,0.8981567678272202,0.815140250084488,505,42,547,2454,middle 60%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,27,0.8523663762655993,0.7427164546573656,582,45,627,1855,middle 60%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,28,0.7828535669586983,0.6431876606683805,650,44,694,1295,last 20%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,29,0.8271103896103896,0.7051903114186852,421,5,426,1024,last 20%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,30,0.8807420494699647,0.7868981846882399,219,51,270,1048,last 20%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,31,0.8879492600422833,0.7984790874524715,128,84,212,924,last 20%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,32,0.8627450980392157,0.7586206896551724,111,92,203,730,last 20%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,33,0.8016614745586709,0.6689774696707106,166,25,191,411,last 20%,True,True
POLYIC_20190510_mouse35__E3_P1,mouse-35,20190510,34,0.847457627118644,0.7352941176470589,76,14,90,264,last 20%,True,True
POLYIC_20190510_mouse37__E2_P1,mouse-37,20190510,0,0.5218579234972678,0.35304990757855825,2100,0,2100,1146,first 20%,True,True
POLYIC_20190510_mouse37__E2_P1,mouse-37,20190510,1,0.7709288503990491,0.6272450953302017,1349,0,1349,2270,first 20%,True,True
POLYIC_20190510_mouse37__E2_P1,mouse-37,20190510,2,0.8432946773713946,0.7290488431876607,1030,24,1054,2860,first 20%,True,True
POLYIC_20190510_mouse37__E2_P1,mouse-37,20190510,3,0.8416374899003501,0.7265752150662637,1097,79,1176,3204,first 20%,True,True
POLYIC_20190510_mouse37__E2_P1,mouse-37,20190510,4,0.8552747390921664,0.7471441124780316,1057,94,1151,3495,first 20%,True,True
POLYIC_20190510_mouse37__E2_P1,mouse-37,20190510,5,0.84363894811656,0.7295636140135218,1046,274,1320,3835,first 20%,True,True
POLYIC_20190510_mouse37__E2_P1,mouse-37,20190510,6,0.848029585114989,0.7361556982343499,1057,258,1315,3927,first 20%,True,True
POLYIC_20190510_mouse37__E2_P1,mouse-37,20190510,7,0.8610463178940353,0.7559976594499708,1070,181,1251,4057,middle 60%,True,True
POLYIC_20190510_mouse37__E2_P1,mouse-37,20190510,8,0.8762166737198477,0.7797025042364903,1148,22,1170,4163,middle 60%,True,True
POLYIC_20190510_mouse37__E2_P1,mouse-37,20190510,9,0.8845393436140767,0.792981212336051,1132,36,1168,4510,middle 60%,True,True
POLYIC_20190510_mouse37__E2_P1,mouse-37,20190510,10,0.893669446550417,0.8077779681343156,1068,54,1122,4769,middle 60%,True,True
POLYIC_20190510_mouse37__E2_P1,mouse-37,20190510,11,0.9049436737733917,0.8263900697160347,984,37,1021,4897,middle 60%,True,True
POLYIC_20190510_mouse37__E2_P1,mouse-37,20190510,12,0.9358080579447714,0.8793602177981964,657,52,709,5220,middle 60%,True,True
POLYIC_20190510_mouse37__E2_P1,mouse-37,20190510,13,0.9526011560693641,0.9094922737306843,459,74,533,5430,middle 60%,True,True
POLYIC_20190510_mouse37__E2_P1,mouse-37,20190510,14,0.9621793176408358,0.9271151885830785,355,74,429,5531,middle 60%,True,True
POLYIC_20190510_mouse37__E2_P1,mouse-37,20190510,15,0.953760735664093,0.911608623548922,470,63,533,5560,middle 60%,True,True
POLYIC_20190510_mouse37__E2_P1,mouse-37,20190510,16,0.9601816276632903,0.923412831709775,383,73,456,5571,middle 60%,True,True
POLYIC_20190510_mouse37__E2_P1,mouse-37,20190510,17,0.9457025443735245,0.8969978437551833,559,62,621,5470,middle 60%,True,True
POLYIC_20190510_mouse37__E2_P1,mouse-37,20190510,18,0.9170773886727194,0.8468540402427339,895,64,959,5367,middle 60%,True,True
POLYIC_20190510_mouse37__E2_P1,mouse-37,20190510,19,0.8882476390346274,0.7989617744218971,1215,63,1278,5142,middle 60%,True,True
POLYIC_20190510_mouse37__E2_P1,mouse-37,20190510,20,0.8646406348633782,0.7615567911040508,1437,64,1501,4858,middle 60%,True,True
