domain,subject,native_coordinate_axis,candidate_factor_pixels,expected_level1_footprint_pixels,expert_best_residue,expert_max_alignment_fraction,prediction_best_residue,prediction_max_alignment_fraction,prediction_minus_expert_alignment,expert_transition_count,prediction_transition_count
CAMRI,099,x,5,3.199999881,0,0.2162258756,4,0.2368794326,0.020653557,2798,2820
CAMRI,099,x,6,3.199999881,2,0.2083631165,0,0.1787234043,-0.02963971226,2798,2820
CAMRI,099,x,7,3.199999881,4,0.1529664046,6,0.1620567376,0.009090333014,2798,2820
CAMRI,099,x,8,3.199999881,0,0.146533238,7,0.1432624113,-0.00327082668,2798,2820
CAMRI,099,y,2,4.999999925,0,0.5454308094,0,0.5433403805,-0.00209042885,3830,3784
CAMRI,099,y,3,4.999999925,1,0.3488250653,0,0.4151691332,0.06634406792,3830,3784
CAMRI,099,y,4,4.999999925,0,0.2832898172,2,0.2809196617,-0.002370155499,3830,3784
CAMRI,099,y,5,4.999999925,1,0.2177545692,3,0.5076638478,0.2899092786,3830,3784
CAMRI,099,y,6,4.999999925,4,0.2067885117,0,0.218551797,0.01176328529,3830,3784
CAMRI,099,y,7,4.999999925,6,0.1673629243,3,0.2264799154,0.05911699115,3830,3784
CAMRI,099,y,8,4.999999925,4,0.1603133159,3,0.2378435518,0.07753023587,3830,3784
Mouse,POLYIC_20190510_mouse34__E2_P1,x,2,3.199999881,1,0.5078082929,1,0.5051490515,-0.002659241455,3714,3690
Mouse,POLYIC_20190510_mouse34__E2_P1,x,3,3.199999881,2,0.3373721055,1,0.3563685637,0.01899645814,3714,3690
Mouse,POLYIC_20190510_mouse34__E2_P1,x,4,3.199999881,3,0.2549811524,1,0.256097561,0.001116408579,3714,3690
Mouse,POLYIC_20190510_mouse34__E2_P1,x,5,3.199999881,2,0.2059773829,2,0.2051490515,-0.0008283313851,3714,3690
Mouse,POLYIC_20190510_mouse34__E2_P1,x,6,3.199999881,1,0.1752827141,1,0.1913279133,0.01604519922,3714,3690
Mouse,POLYIC_20190510_mouse34__E2_P1,x,7,3.199999881,6,0.1647819063,0,0.1661246612,0.001342754946,3714,3690
Mouse,POLYIC_20190510_mouse34__E2_P1,x,8,3.199999881,7,0.1359719978,0,0.135501355,-0.0004706428324,3714,3690
Mouse,POLYIC_20190510_mouse34__E2_P1,y,2,4.999999925,1,0.5030012005,0,0.5606183889,0.05761718845,4998,4916
Mouse,POLYIC_20190510_mouse34__E2_P1,y,3,4.999999925,2,0.3369347739,2,0.4009357201,0.06400094619,4998,4916
Mouse,POLYIC_20190510_mouse34__E2_P1,y,4,4.999999925,2,0.2745098039,0,0.3155004068,0.04099060291,4998,4916
Mouse,POLYIC_20190510_mouse34__E2_P1,y,5,4.999999925,1,0.2200880352,2,0.5132221318,0.2931340966,4998,4916
Mouse,POLYIC_20190510_mouse34__E2_P1,y,6,4.999999925,2,0.1800720288,2,0.2479658259,0.06789379706,4998,4916
Mouse,POLYIC_20190510_mouse34__E2_P1,y,7,4.999999925,0,0.1666666667,5,0.181448332,0.01478166531,4998,4916
Mouse,POLYIC_20190510_mouse34__E2_P1,y,8,4.999999925,6,0.1404561825,4,0.2034174125,0.06296123006,4998,4916
Mouse,POLYIC_20190510_mouse35__E3_P1,x,2,3.199999881,1,0.5024403471,1,0.5008310249,-0.001609322141,3688,3610
Mouse,POLYIC_20190510_mouse35__E3_P1,x,3,3.199999881,0,0.3405639913,0,0.3443213296,0.003757338317,3688,3610
Mouse,POLYIC_20190510_mouse35__E3_P1,x,4,3.199999881,0,0.2548806941,2,0.2645429363,0.009662242145,3688,3610
Mouse,POLYIC_20190510_mouse35__E3_P1,x,5,3.199999881,4,0.2071583514,0,0.2163434903,0.009185138895,3688,3610
Mouse,POLYIC_20190510_mouse35__E3_P1,x,6,3.199999881,0,0.1781453362,5,0.1792243767,0.001079040506,3688,3610
Mouse,POLYIC_20190510_mouse35__E3_P1,x,7,3.199999881,5,0.1531995662,1,0.156232687,0.00303312082,3688,3610
Mouse,POLYIC_20190510_mouse35__E3_P1,x,8,3.199999881,0,0.1396420824,2,0.143767313,0.00412523059,3688,3610
Mouse,POLYIC_20190510_mouse35__E3_P1,y,2,4.999999925,0,0.5201785021,0,0.5246492986,0.004470796463,5154,4990
Mouse,POLYIC_20190510_mouse35__E3_P1,y,3,4.999999925,0,0.3409002716,2,0.4118236473,0.07092337566,5154,4990
Mouse,POLYIC_20190510_mouse35__E3_P1,y,4,4.999999925,2,0.2867675592,0,0.2951903808,0.008422821584,5154,4990
Mouse,POLYIC_20190510_mouse35__E3_P1,y,5,4.999999925,3,0.2173069461,0,0.5070140281,0.289707082,5154,4990
Mouse,POLYIC_20190510_mouse35__E3_P1,y,6,4.999999925,2,0.1788901824,2,0.2396793587,0.06078917633,5154,4990
Mouse,POLYIC_20190510_mouse35__E3_P1,y,7,4.999999925,3,0.1825766395,5,0.1919839679,0.009407328433,5154,4990
Mouse,POLYIC_20190510_mouse35__E3_P1,y,8,4.999999925,6,0.1662786185,1,0.2034068136,0.03712819508,5154,4990
Mouse,POLYIC_20190510_mouse37__E2_P1,x,2,3.199999881,1,0.5043037975,0,0.5049197307,0.0006159332411,3950,3862
Mouse,POLYIC_20190510_mouse37__E2_P1,x,3,3.199999881,1,0.3503797468,0,0.3438632833,-0.006516463563,3950,3862
Mouse,POLYIC_20190510_mouse37__E2_P1,x,4,3.199999881,3,0.2665822785,3,0.2617814604,-0.004800818098,3950,3862
Mouse,POLYIC_20190510_mouse37__E2_P1,x,5,3.199999881,3,0.2078481013,4,0.2255308131,0.01768271178,3950,3862
Mouse,POLYIC_20190510_mouse37__E2_P1,x,6,3.199999881,1,0.1787341772,4,0.1760745728,-0.002659604455,3950,3862
Mouse,POLYIC_20190510_mouse37__E2_P1,x,7,3.199999881,2,0.1498734177,1,0.160538581,0.01066516332,3950,3862
Mouse,POLYIC_20190510_mouse37__E2_P1,x,8,3.199999881,7,0.1334177215,1,0.1369756603,0.003557938761,3950,3862
Mouse,POLYIC_20190510_mouse37__E2_P1,y,2,4.999999925,0,0.5316176471,0,0.5195195195,-0.01209812754,5440,5328
Mouse,POLYIC_20190510_mouse37__E2_P1,y,3,4.999999925,1,0.346875,1,0.464527027,0.117652027,5440,5328
Mouse,POLYIC_20190510_mouse37__E2_P1,y,4,4.999999925,2,0.2884191176,2,0.3081831832,0.01976406554,5440,5328
Mouse,POLYIC_20190510_mouse37__E2_P1,y,5,4.999999925,1,0.2246323529,0,0.5095720721,0.2849397191,5440,5328
Mouse,POLYIC_20190510_mouse37__E2_P1,y,6,4.999999925,4,0.1952205882,4,0.2605105105,0.06528992228,5440,5328
Mouse,POLYIC_20190510_mouse37__E2_P1,y,7,4.999999925,5,0.1726102941,5,0.2042042042,0.03159391009,5440,5328
Mouse,POLYIC_20190510_mouse37__E2_P1,y,8,4.999999925,2,0.1670955882,2,0.201951952,0.03485636372,5440,5328
Mouse,POLYIC_20190510_mouse38__E2_P1,x,2,3.199999881,1,0.5076355977,0,0.5093482906,0.001712692915,3798,3744
Mouse,POLYIC_20190510_mouse38__E2_P1,x,3,3.199999881,2,0.3462348605,1,0.3509615385,0.004726678009,3798,3744
Mouse,POLYIC_20190510_mouse38__E2_P1,x,4,3.199999881,3,0.2640863612,0,0.2638888889,-0.0001974723539,3798,3744
Mouse,POLYIC_20190510_mouse38__E2_P1,x,5,3.199999881,0,0.2219589258,4,0.2179487179,-0.004010207802,3798,3744
Mouse,POLYIC_20190510_mouse38__E2_P1,x,6,3.199999881,3,0.1771985255,1,0.1778846154,0.0006860898449,3798,3744
Mouse,POLYIC_20190510_mouse38__E2_P1,x,7,3.199999881,2,0.1619273302,5,0.1554487179,-0.006478612225,3798,3744
Mouse,POLYIC_20190510_mouse38__E2_P1,x,8,3.199999881,6,0.1379673512,5,0.1447649573,0.006797606027,3798,3744
Mouse,POLYIC_20190510_mouse38__E2_P1,y,2,4.999999925,1,0.5038080731,0,0.5751850409,0.07137696779,5252,5134
Mouse,POLYIC_20190510_mouse38__E2_P1,y,3,4.999999925,2,0.3526275704,0,0.4296844566,0.07705688611,5252,5134
Mouse,POLYIC_20190510_mouse38__E2_P1,y,4,4.999999925,3,0.261614623,2,0.3223607324,0.06074610937,5252,5134
Mouse,POLYIC_20190510_mouse38__E2_P1,y,5,4.999999925,1,0.2286747906,0,0.5140241527,0.2853493622,5252,5134
Mouse,POLYIC_20190510_mouse38__E2_P1,y,6,4.999999925,5,0.1869763899,0,0.240358395,0.05338200507,5252,5134
Mouse,POLYIC_20190510_mouse38__E2_P1,y,7,4.999999925,3,0.1732673267,6,0.1776392676,0.004371940895,5252,5134
Mouse,POLYIC_20190510_mouse38__E2_P1,y,8,4.999999925,6,0.156511805,4,0.188546942,0.03203513693,5252,5134
Mouse,POLYIC_20190510_mouse39__E4_P1,x,2,3.199999881,0,0.5025680534,0,0.528376248,0.02580819461,3894,3806
Mouse,POLYIC_20190510_mouse39__E4_P1,x,3,3.199999881,1,0.3384694402,0,0.3526011561,0.01413171591,3894,3806
Mouse,POLYIC_20190510_mouse39__E4_P1,x,4,3.199999881,2,0.2632254751,2,0.2795585917,0.01633311661,3894,3806
Mouse,POLYIC_20190510_mouse39__E4_P1,x,5,3.199999881,2,0.2198253724,3,0.2235943248,0.003768952383,3894,3806
Mouse,POLYIC_20190510_mouse39__E4_P1,x,6,3.199999881,4,0.1813045711,4,0.1781397793,-0.003164791839,3894,3806
