relative_path,extension,size_bytes,detected_format,annotation_candidate,name_keyword_matches,hidden_file
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/bba9a873-4cf2-4bd9-bdd1-54cf8e1bfae8.dcm,.dcm,134132,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/bf2b1240-2a3b-47fe-85a3-55de9ab60ead.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/c0dcc0ea-91d4-43d7-ac14-131879bbf29d.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/c1fa6c2d-0d06-4bf1-a205-ed9cdea0ab70.dcm,.dcm,134128,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/cff20f0a-4a50-4c5d-8435-a796dfca28db.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/d0c2b6cd-2852-4d85-993a-5620496842bb.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/d31cabdc-28b0-4256-bc08-90e28611c73d.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/def2bfa5-60f5-4a8f-ae74-33805e066c68.dcm,.dcm,134130,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/e47939ef-3871-401c-9d07-987b9dde3673.dcm,.dcm,134128,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/f90c928e-6998-43a5-81b4-c386fedd78cd.dcm,.dcm,134132,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/011.2/fdff2073-620e-4c99-88a3-2c4f6e78593d.dcm,.dcm,134128,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/038.2/1e116505-9c23-4107-9023-c76953443c82.dcm,.dcm,37920,DICOM,0,,0
