domain,subject,component_rank,component_label,is_largest_component,voxel_volume,physical_volume_mm3,centroid_i,centroid_j,centroid_k,centroid_world_x,centroid_world_y,centroid_world_z,centroid_distance_to_largest_mm,minimum_distance_to_largest_mm,bbox_i0,bbox_j0,bbox_k0,bbox_i1_exclusive,bbox_j1_exclusive,bbox_k1_exclusive,occupied_slices,average_image_intensity,brain_intensity_zscore,locally_brain_like,expert_overlap_voxels,expert_overlap_fraction
Mouse,POLYIC_20190510_mouse42__E2_P1,1,1,1,110441,441.7641843183093,93.7074908774821,111.00576778551444,15.007995219166794,0.017082137326471347,-0.5279822992920664,-3.422693397723388,0.0,0.0,43,75,0,143,147,35,35,29.34815216064453,0.05978585672884435,1,108914,0.9861736130603671
Mouse,POLYIC_20190510_mouse42__E2_P1,2,3,0,44,0.17600007343292445,90.13636363636364,78.56818181818181,32.02272727272727,-0.8112665509236887,1.8576161859415024,3.6901450620828875,7.547828339156487,2.3853727486093352,89,75,31,93,82,34,3,22.509428024291992,-1.0857945367793456,0,0,0.0
Mouse,POLYIC_20190510_mouse42__E2_P1,3,2,0,17,0.06800002837181171,63.76470588235294,131.8235294117647,3.0,3.6614063008148485,-1.1366899433183573,-8.189096891107361,6.030773239496262,1.153256328335727,62,130,3,66,135,4,1,25.34463119506836,-0.6108589933512162,1,0,0.0
Mouse,POLYIC_20190510_mouse43__E2_P1_1,1,1,1,78165,312.66001397699137,89.82324569820253,122.44335700121538,7.502808162220943,-0.03497208037690669,-5.3790275053019805,1.0905910908066159,0.0,0.0,38,90,0,143,160,24,24,23.462997436523438,0.027516645455939476,1,75643,0.9677349197211028
Mouse,POLYIC_20190510_mouse43__E9_P1,1,2,1,116387,465.54795143955766,80.14000704546041,125.25785525874883,14.254616065368126,1.3032153424590156,-6.254719737398103,3.825814951726655,0.0,0.0,28,87,0,131,162,34,34,12.045830726623535,0.029338970249895086,1,111704,0.9597635474752335
Mouse,POLYIC_20190510_mouse43__E9_P1,2,1,0,87,0.34799996370076997,18.114942528735632,116.10344827586206,14.96551724137931,7.42551891245051,-4.924468341564783,4.197042917830978,6.276143719041578,0.9000000134110451,16,110,14,22,122,17,3,6.520285606384277,-1.2052271527012102,0,0,0.0
Mouse,POLYIC_20190517_mouse33__E2_P1,1,1,1,105460,421.8400188577178,102.40593589986725,105.8073203110184,15.434790441873696,-1.1808042696856536,-1.6909198473662261,-1.1362720199627665,0.0,0.0,52,75,0,151,137,35,35,28.20198631286621,0.05975001691084989,1,103614,0.9824957329793287
Mouse,POLYIC_20190517_mouse35__E2_P1,1,1,1,108192,432.76798710250785,90.94505139012126,119.92056713989943,14.761017450458445,-0.07019261650791364,-0.13827721326680198,0.33236746055674704,0.0,0.0,40,85,0,140,152,35,35,29.169172286987305,0.05548227610357506,1,106490,0.9842687074829932
Mouse,POLYIC_20190517_mouse36__E2_P1,1,1,1,110421,441.6839539287669,96.99049999547188,120.23145959554795,14.987357477291457,-0.6454012649391441,-1.4987861055512681,-0.6795651788553192,0.0,0.0,45,85,0,147,152,35,35,29.350488662719727,0.06373264353904114,1,109142,0.9884170583494082
Mouse,POLYIC_20190517_mouse37__E3_P1,1,1,1,304110,451.04233998747077,132.04689750419257,164.55450988129294,20.36077735030088,-0.24652096819315972,-0.682099370219726,-0.9244538880236846,0.0,0.0,58,114,0,204,213,43,43,4.048980712890625,-0.04507130034835973,1,292396,0.9614810430436356
Mouse,POLYIC_20190517_mouse37__E3_P1,2,2,0,60,0.08898931439034641,84.6,179.7,41.0,3.1661872062804512,-2.1002460162690255,5.153702608986988,7.113487428538335,0.9167628382316225,80,174,41,90,185,42,1,5.2267842292785645,1.336833085314182,0,0,0.0
Mouse,POLYIC_20190517_mouse38__E3_P1,1,1,1,111461,445.84415280265046,98.8310619858067,110.79900593032541,15.393447035285885,-1.5557957280622716,-1.5624175330495822,-1.4584001544242868,0.0,0.0,48,80,0,149,145,35,35,27.06669807434082,0.05115104004639633,1,110014,0.9870178806936956
Mouse,POLYIC_20190517_mouse39__E12_P1,1,1,1,294755,437.1674227187759,132.02452206069447,177.53483401469018,20.001268850401182,-0.18684139568998148,-1.7835766750618802,-0.90846719488541,0.0,0.0,59,132,0,203,224,43,43,5.122557640075684,-0.02865387109966422,1,286565,0.9722142118030228
Mouse,POLYIC_20190517_mouse39__E12_P1,2,2,0,145,0.21505750977667049,85.07586206896552,182.13793103448276,40.39310344827586,3.1500080053303643,-2.4598548612017037,5.16066952602408,6.958903408384859,0.8893905919223567,80,178,39,92,188,42,3,6.906948089599609,1.8241079889610756,0,0,0.0
Mouse,POLYIC_20190517_mouse39__E12_P1,3,3,0,41,0.06080936483340338,93.48780487804878,177.29268292682926,38.0,2.5380737789844012,-2.0906123712694598,4.474727453472276,6.041375526320412,0.33870245455591896,90,174,38,97,181,39,1,4.096487522125244,-1.094039297699432,0,0,0.0
Mouse,POLYIC_20190517_mouse42__E4_P1,1,1,1,113071,452.28378433417606,97.22334639297432,121.91510643754809,15.276348489002485,-0.6080052346273597,-2.1660609373455717,-0.22045783765621607,0.0,0.0,46,87,0,147,157,35,35,28.91410255432129,0.05709466127125617,1,111561,0.9866455589850625
