transform,self_consistency_dice,transformed_vs_expert_dice,baseline_vs_expert_dice,accuracy_delta,subject
axis0_+1mm,0.9885238670301619,0.9147485677417349,0.9181062759676362,-0.0033577082259013125,POLYIC_20190510_mouse39__E4_P1
axis0_+2mm,0.9904731614936464,0.9135522369504747,0.9181062759676362,-0.004554039017161449,POLYIC_20190510_mouse39__E4_P1
axis0_+4mm,0.9919884204812738,0.9153900615415737,0.9181062759676362,-0.002716214426062513,POLYIC_20190510_mouse39__E4_P1
axis0_+6mm,0.9907300368617358,0.9190364121128721,0.9181062759676362,0.0009301361452359602,POLYIC_20190510_mouse39__E4_P1
axis1_+1mm,0.9696711111111112,0.897580565120132,0.9181062759676362,-0.02052571084750421,POLYIC_20190510_mouse39__E4_P1
axis1_+2mm,0.9923638536308127,0.9206413893634696,0.9181062759676362,0.002535113395833455,POLYIC_20190510_mouse39__E4_P1
axis1_+4mm,0.9813903315449954,0.902706061977796,0.9181062759676362,-0.01540021398984015,POLYIC_20190510_mouse39__E4_P1
axis1_+6mm,0.9884465022823072,0.9182959198853715,0.9181062759676362,0.00018964391773534928,POLYIC_20190510_mouse39__E4_P1
axis2_+1mm,0.9856611168388649,0.9240778180731137,0.9181062759676362,0.0059715421054775675,POLYIC_20190510_mouse39__E4_P1
axis2_+2mm,0.9841439099029353,0.9212178353957965,0.9181062759676362,0.0031115594281603265,POLYIC_20190510_mouse39__E4_P1
axis2_+4mm,0.9537057645225907,0.8788208630304476,0.9181062759676362,-0.03928541293718857,POLYIC_20190510_mouse39__E4_P1
axis2_+6mm,0.9758089300610264,0.9267190476940276,0.9181062759676362,0.00861277172639141,POLYIC_20190510_mouse39__E4_P1
resampling_floor,0.9999924923234007,0.920827768212027,0.9208203593296161,7.408882410908646e-06,POLYIC_20190510_mouse42__E2_P1
axis0_+1mm,0.9915558560588986,0.9218753774184978,0.9208203593296161,0.001055018088881643,POLYIC_20190510_mouse42__E2_P1
axis0_+2mm,0.9907899159663865,0.9156877180628021,0.9208203593296161,-0.005132641266814009,POLYIC_20190510_mouse42__E2_P1
axis0_+4mm,0.9929173997383498,0.9224037198507546,0.9208203593296161,0.0015833605211384993,POLYIC_20190510_mouse42__E2_P1
axis0_+6mm,0.9907584900312526,0.9149235366496749,0.9208203593296161,-0.005896822679941294,POLYIC_20190510_mouse42__E2_P1
axis1_+1mm,0.9730585670516144,0.9016828912623656,0.9208203593296161,-0.019137468067250585,POLYIC_20190510_mouse42__E2_P1
axis1_+2mm,0.9908189053600392,0.9250590404710297,0.9208203593296161,0.0042386811414135694,POLYIC_20190510_mouse42__E2_P1
axis1_+4mm,0.9860572682326605,0.9088398228543311,0.9208203593296161,-0.011980536475285075,POLYIC_20190510_mouse42__E2_P1
axis1_+6mm,0.9841395175801566,0.9317100977198697,0.9208203593296161,0.010889738390253534,POLYIC_20190510_mouse42__E2_P1
axis2_+1mm,0.9625229975807269,0.8873299418492105,0.9208203593296161,-0.0334904174804056,POLYIC_20190510_mouse42__E2_P1
axis2_+2mm,0.9705630431122206,0.8963081308835738,0.9208203593296161,-0.024512228446042394,POLYIC_20190510_mouse42__E2_P1
axis2_+4mm,0.9247833429470919,0.8504222847829308,0.9208203593296161,-0.07039807454668534,POLYIC_20190510_mouse42__E2_P1
axis2_+6mm,0.984307363352946,0.9191483908174871,0.9208203593296161,-0.0016719685121290295,POLYIC_20190510_mouse42__E2_P1
resampling_floor,1.0,0.9306000376789751,0.9306000376789751,0.0,POLYIC_20190510_mouse43__E2_P1_1
axis0_+1mm,0.995211298686969,0.9295093134146055,0.9306000376789751,-0.0010907242643696247,POLYIC_20190510_mouse43__E2_P1_1
axis0_+2mm,0.9967458437562261,0.9313002286064433,0.9306000376789751,0.0007001909274682028,POLYIC_20190510_mouse43__E2_P1_1
axis0_+4mm,0.9954708248388341,0.9274345832209334,0.9306000376789751,-0.0031654544580417276,POLYIC_20190510_mouse43__E2_P1_1
axis0_+6mm,0.9963517367943927,0.9301635871484053,0.9306000376789751,-0.00043645053056984295,POLYIC_20190510_mouse43__E2_P1_1
axis1_+1mm,0.9928522729771933,0.926486764809137,0.9306000376789751,-0.004113272869838092,POLYIC_20190510_mouse43__E2_P1_1
axis1_+2mm,0.9950296119997786,0.9315623858292772,0.9306000376789751,0.0009623481503020503,POLYIC_20190510_mouse43__E2_P1_1
axis1_+4mm,0.9974452837283374,0.9301717743739477,0.9306000376789751,-0.00042826330502743204,POLYIC_20190510_mouse43__E2_P1_1
axis1_+6mm,0.9952428365969687,0.9307233882175583,0.9306000376789751,0.0001233505385831446,POLYIC_20190510_mouse43__E2_P1_1
axis2_+1mm,0.9939422077778515,0.9317705759137659,0.9306000376789751,0.0011705382347907411,POLYIC_20190510_mouse43__E2_P1_1
axis2_+2mm,0.9942419703777667,0.9313770658350167,0.9306000376789751,0.000777028156041526,POLYIC_20190510_mouse43__E2_P1_1
axis2_+4mm,0.9942058472289796,0.9306431867407478,0.9306000376789751,4.3149061772607133e-05,POLYIC_20190510_mouse43__E2_P1_1
axis2_+6mm,0.9931713795584085,0.9294576474885414,0.9306000376789751,-0.0011423901904337175,POLYIC_20190510_mouse43__E2_P1_1
resampling_floor,1.0,0.8967843040853012,0.8967843040853012,0.0,POLYIC_20190510_mouse43__E9_P1
axis0_+1mm,0.9940072588132685,0.8981990725762968,0.8967843040853012,0.0014147684909956437,POLYIC_20190510_mouse43__E9_P1
axis0_+2mm,0.9923777260215965,0.900850471625174,0.8967843040853012,0.004066167539872767,POLYIC_20190510_mouse43__E9_P1
axis0_+4mm,0.9958711344549617,0.8961264627639126,0.8967843040853012,-0.0006578413213885748,POLYIC_20190510_mouse43__E9_P1
axis0_+6mm,0.9942263117229754,0.8962313490232272,0.8967843040853012,-0.0005529550620739787,POLYIC_20190510_mouse43__E9_P1
axis1_+1mm,0.9910796375707979,0.8953916377859574,0.8967843040853012,-0.0013926662993437589,POLYIC_20190510_mouse43__E9_P1
axis1_+2mm,0.993438218683846,0.8972788958463304,0.8967843040853012,0.0004945917610291728,POLYIC_20190510_mouse43__E9_P1
axis1_+4mm,0.9958298464849051,0.8980292797129017,0.8967843040853012,0.0012449756276005086,POLYIC_20190510_mouse43__E9_P1
axis1_+6mm,0.9933885574970667,0.8959447295332323,0.8967843040853012,-0.0008395745520688447,POLYIC_20190510_mouse43__E9_P1
axis2_+1mm,0.984365689640496,0.9078851207413973,0.8967843040853012,0.01110081665609608,POLYIC_20190510_mouse43__E9_P1
axis2_+2mm,0.9909515634234893,0.8993635088692651,0.8967843040853012,0.0025792047839638954,POLYIC_20190510_mouse43__E9_P1
axis2_+4mm,0.988650729192415,0.9032302990444505,0.8967843040853012,0.006445994959149326,POLYIC_20190510_mouse43__E9_P1
axis2_+6mm,0.9903560048114461,0.8987528021508193,0.8967843040853012,0.0019684980655181317,POLYIC_20190510_mouse43__E9_P1
resampling_floor,1.0,0.9293075055599884,0.9293075055599884,0.0,POLYIC_20190517_mouse33__E2_P1
axis0_+1mm,0.9808891603446059,0.9381158849034292,0.9293075055599884,0.008808379343440809,POLYIC_20190517_mouse33__E2_P1
axis0_+2mm,0.9887717126510661,0.9260890515761977,0.9293075055599884,-0.0032184539837907256,POLYIC_20190517_mouse33__E2_P1
axis0_+4mm,0.9823407312789398,0.931642984769846,0.9293075055599884,0.0023354792098575494,POLYIC_20190517_mouse33__E2_P1
axis0_+6mm,0.987338969245004,0.9227853538969517,0.9293075055599884,-0.006522151663036713,POLYIC_20190517_mouse33__E2_P1
axis1_+1mm,0.9834348413394317,0.9218835446445849,0.9293075055599884,-0.007423960915403538,POLYIC_20190517_mouse33__E2_P1
axis1_+2mm,0.9834596885297412,0.940055502573223,0.9293075055599884,0.01074799701323459,POLYIC_20190517_mouse33__E2_P1
axis1_+4mm,0.9830904796654191,0.9152389464803321,0.9293075055599884,-0.014068559079656318,POLYIC_20190517_mouse33__E2_P1
axis1_+6mm,0.9755185338764625,0.9486643357250067,0.9293075055599884,0.019356830165018324,POLYIC_20190517_mouse33__E2_P1
axis2_+1mm,0.9759836000946148,0.9192611251049538,0.9293075055599884,-0.010046380455034587,POLYIC_20190517_mouse33__E2_P1
axis2_+2mm,0.9847617986647675,0.9277180963363038,0.9293075055599884,-0.001589409223684668,POLYIC_20190517_mouse33__E2_P1
axis2_+4mm,0.9411782379761288,0.8741876061594405,0.9293075055599884,-0.055119899400547956,POLYIC_20190517_mouse33__E2_P1
axis2_+6mm,0.9827458772104113,0.9279478386045134,0.9293075055599884,-0.0013596669554750695,POLYIC_20190517_mouse33__E2_P1
resampling_floor,1.0,0.9237987647500226,0.9237987647500226,0.0,POLYIC_20190517_mouse35__E2_P1
axis0_+1mm,0.988910842561534,0.9193073408417892,0.9237987647500226,-0.004491423908233427,POLYIC_20190517_mouse35__E2_P1
axis0_+2mm,0.9856900241418964,0.9136305815584331,0.9237987647500226,-0.01016818319158952,POLYIC_20190517_mouse35__E2_P1
axis0_+4mm,0.9933086527627676,0.9202272652632271,0.9237987647500226,-0.003571499486795582,POLYIC_20190517_mouse35__E2_P1
axis0_+6mm,0.9856286604266468,0.9131384956618175,0.9237987647500226,-0.010660269088205165,POLYIC_20190517_mouse35__E2_P1
axis1_+1mm,0.9733161422636416,0.9043370228145471,0.9237987647500226,-0.019461741935475563,POLYIC_20190517_mouse35__E2_P1
axis1_+2mm,0.9885439534955629,0.9279079979783418,0.9237987647500226,0.004109233228319131,POLYIC_20190517_mouse35__E2_P1
axis1_+4mm,0.9837634228952444,0.9111351386506459,0.9237987647500226,-0.012663626099376768,POLYIC_20190517_mouse35__E2_P1
axis1_+6mm,0.9858794519273268,0.9303849031507191,0.9237987647500226,0.00658613840069644,POLYIC_20190517_mouse35__E2_P1
axis2_+1mm,0.9893628451703019,0.9204041865704161,0.9237987647500226,-0.0033945781796065333,POLYIC_20190517_mouse35__E2_P1
