dataset,subject,axis_angle_to_fixed_reference_deg,centroid_offset_x_mm,centroid_offset_y_mm,centroid_offset_z_mm,centroid_offset_mag_mm,extent_x_mm,extent_y_mm,extent_z_mm,axcodes,voxel_count,axis_angle_within_dataset_deg
Mouse (POLYIC brain),POLYIC_20190531_polyic_m__E3_P1_13,4.688117908426067,0.19807121812930606,-3.4535819802235928,-1.3258090338770048,3.7046228277499744,10.067618408328,6.709089419284711,14.399953419803518,LPS,113250,2.4979507346574867
Mouse (POLYIC brain),POLYIC_20190531_polyic_m__E3_P1_2,0.6753849257644438,0.06641692809501909,-2.726798927533492,-1.2107410964406533,2.9842482474059855,10.30000015348196,6.599962590333693,14.399979216123782,LPS,118390,6.5419575869834645
Mouse (POLYIC brain),POLYIC_20190531_polyic_m__E3_P1_3,14.094385281114326,-0.20173288161237735,-2.2695945305376366,-1.3036786159555034,2.62513493410713,10.200000151991844,7.899837593005099,14.000131472437666,LPS,119339,20.785701394866436
Mouse (POLYIC brain),POLYIC_20190531_polyic_m__E3_P1_4,12.13235497206668,0.804653058627264,-3.930565013684951,-1.6757365764691534,4.347976649578393,10.055117254848028,7.280019543522645,13.59993193709543,LPS,112340,5.384758921932131
Mouse (POLYIC brain),POLYIC_20190531_polyic_m__E3_P1_5,2.644942987850076,-0.15508783473230547,-2.8891129346519464,-1.2959255367436606,3.170244278039073,10.200000151991844,6.699962591752611,14.40004093099895,LPS,114764,9.302137032172947
Mouse (POLYIC brain),POLYIC_20190531_polyic_m__E3_P1_6,7.345074601227563,-0.7599151654893738,-3.103511814109077,-1.1523037014785649,3.3966248629332854,10.200000151991844,6.899975096239443,14.800037900770647,LPS,114325,13.812755042167344
Mouse (POLYIC brain),POLYIC_20190531_polyic_m__E3_P1_7,10.224713300346925,0.14172962095825192,-3.04078131158847,-1.2985220217966882,3.3094709111055236,10.198610478188298,7.074451652301589,13.999931446826452,LPS,115099,3.0765468342530062
Mouse (POLYIC brain),POLYIC_20190531_polyic_m__E3_P1_8,5.919497495639922,0.005430930660718092,-2.615153848571442,-1.477080723309811,3.0034690958755177,10.000000149011612,6.392726184384088,13.97240970869167,LPS,111178,1.9506453778098078
Mouse (POLYIC brain),POLYIC_20190531_polyic_m__E3_P1_9,4.821932270509786,-0.18456031086533287,-3.1673112309395957,-1.1379706215241996,3.370593431049639,10.100000150501728,6.899912588218035,14.40002530399709,LPS,117878,11.677300685060885
Mouse (POLYIC brain),POLYIC_20190531_polyic_m__E5_P1_11,8.91083829006627,0.34753305503056287,-3.446166902657839,-1.2291286302330535,3.6752690697378583,10.30000015348196,7.70023764138878,14.399936626652627,LPS,120878,1.7761240511079184
Mouse (POLYIC brain),POLYIC_20190612_polyic___E10_P1_1,7.628654776907459,0.14336925602307293,-2.9339726103807005,-1.3496602610483766,3.2326974560403765,10.198917070835309,6.649684811272817,14.399937792831786,LPS,114971,1.1690448395695843
Mouse (stroke lesion),20190319CH_Exp4_M2,52.64631453985124,-2.2405341713217197,-3.0522555155394304,1.2546115874253054,3.9887726608949556,3.488891523797066,3.6979510220699012,3.0,RAS,3849,31.073513924069648
Mouse (stroke lesion),20170714CH_Exp7_ZFPtm1a_M26,32.71424328450573,-2.3585370469121125,-3.8169595238924336,0.7599958991183106,4.550765954799995,4.222776271402836,5.312013354152441,5.5,RAS,9754,40.206520263157586
Mouse (stroke lesion),20180711CH_Exp8_M17,42.46817377953226,-2.2079662100263158,-3.127770407088051,1.3286604361370715,4.052579556113573,3.0000000447034836,4.600000068545341,2.5,RAS,2247,19.43228114853808
Mouse (stroke lesion),20170928CH_Exp8_M27,25.35774582958531,-2.273284483217117,-3.6821007994556725,-0.45074843070980175,4.350731293331635,4.175817704759538,5.955384355969727,5.999999999999999,RAS,6213,24.76403613017148
Mouse (stroke lesion),20170920CH_Exp09_M03,31.947690150317253,-1.8248222423355775,-4.032447776239861,0.2848652931854203,4.435285731436709,3.7579772267490634,3.9308996442705393,4.499999999999999,RAS,2524,31.132209947755836
Mouse (stroke lesion),20191029CH_Exp8_M05,88.4208743650706,-1.5597941863168145,-2.3731964421026484,2.2216494845360826,3.605654682386521,0.8000001907348633,1.6000003814697266,0.5,RAS,97,64.08839421453776
Mouse (stroke lesion),20190219CH_Exp1_M4,37.85423433166246,-1.6552928266310065,-2.7639065574265214,1.3060851926977688,3.4763533092402676,2.9414540138095617,3.7424481101334095,2.999999999999999,RAS,2465,8.887631459714273
Mouse (stroke lesion),20170927CH_Exp8_M16,88.37020519223512,-2.190011967556128,-3.726924367679393,1.4652915509718365,4.564339710165201,3.4198863841593274,4.292322339490056,2.5,RAS,2521,75.5833431411939
Mouse (stroke lesion),20170712CH_Exp7_ZFPtm1a_M11,21.67450322775727,-2.2257546264663217,-4.534652152451614,-0.5544533558463483,5.081778460812669,5.949103167280555,6.224771508947015,8.5,RAS,21321,21.6901685929907
Mouse (stroke lesion),20170628CH_Exp6_ZFPtm1a_M13,57.044241362369306,-2.9520265382324307,-2.6163854671530875,0.5538558586973661,3.9833013829450348,3.8000000566244125,5.4000000804662704,3.5,RAS,6341,25.91045241026461
Mouse (stroke lesion),20190206CH_Exp2_M40,66.26471025335128,-1.0463414790063352,-3.991463474111587,2.2073170731707314,4.679621760074965,0.6000000089406967,1.0000000149011612,0.5,RAS,82,57.39285637008849
Mouse (stroke lesion),20190821CH_Exp14_Senp7_M16,43.3797452948328,-2.6618037531918177,-3.347413842983801,0.9874005305039789,4.389229825874372,3.9000000581145287,5.300000078976153,4.999999999999999,RAS,7540,12.271807202100838
Mouse (stroke lesion),20190821CH_Exp14_NEX_M08,75.75600136206246,-1.9880154935412646,-3.0680412828307793,1.5650773195876289,3.9767511780348603,2.7000000402331352,3.8000000566244125,2.0,RAS,1552,52.98676417597001
Mouse (stroke lesion),20170628CH_Exp6_ZFPtm1a_M16,34.29917315649533,-3.0489292917059405,-3.428322536914248,0.3970186857022888,4.605104676305785,3.8000000566244125,5.800000086426734,5.5,RAS,9526,3.037606214935052
Mouse (stroke lesion),20170629CH_Exp6_ZFPtm1a_M30,38.07054366820455,-3.2357466045413794,-2.5111544111339263,0.3325377883850438,4.109322808695182,3.9011513682780787,4.5150219284696504,5.0,RAS,5028,51.34601362295657
Mouse (stroke lesion),20190529CH_Exp5_7753,35.77190003437697,-2.2303461016839425,-2.388716875965037,1.2466934341048654,3.4978073939908567,3.6222367277368903,3.7815049588680267,3.499999999999999,RAS,4234,39.487099800828695
Mouse (stroke lesion),20170404CH_SC_M08,45.92424475790644,-1.9418714796624834,-3.4854438210783325,1.6531820424272323,4.3188186276832194,3.7992228800430894,4.400687852874398,4.499999999999999,RAS,4054,21.51953535359561
Mouse (stroke lesion),20190206CH_Exp2_M36,80.97100749661558,-1.1242701685987413,-2.7846940183080733,1.5143229166666665,3.363283824410846,1.7614481002092361,2.383478432893753,1.5,RAS,384,60.827827834359745
Mouse (stroke lesion),20191030CH_Exp8_M17,33.75923922590613,-2.777460302770628,-2.302513494438563,0.5155345720377703,3.6443970722884407,3.9000009298324585,4.900001168251038,4.0,RAS,6566,12.998305814119307
Mouse (stroke lesion),20190129CH_Exp2_M03,84.25951640024522,-2.8620237807789275,-2.552028150301762,1.2688953488372094,4.039074548455059,2.2711940109729767,3.8047705832868814,2.0,RAS,1376,59.65282589887814
Mouse (stroke lesion),20180710CH_Exp8_M07,30.96958823627416,-2.463792052449148,-3.050542890453378,1.1696315120711565,4.091958098299284,3.453334677964449,3.621234376449138,3.499999999999999,RAS,2361,49.5988590707549
Mouse (stroke lesion),20170926CH_Exp8_M10,48.61588848914644,-2.376528152772442,-3.1808942143567536,1.3648271044359064,4.198657772294756,3.1000000461935997,4.10000006109476,2.999999999999999,RAS,2863,19.499800496297915
