domain,subject,baseline_dice,unetr_style_dice,dice_change,baseline_hd95_mm,unetr_style_hd95_mm,hd95_change_mm,baseline_assd_mm,unetr_style_assd_mm
Mouse,POLYIC_20190614_polyic___E3_P1_5,0.9789771285657327,0.9812881479457046,0.0023110193799719125,0.10000000149011612,0.10000000149011612,0.0,0.02748811164192572,0.02366376624569402
Mouse,POLYIC_20190614_polyic___E3_P1_6,0.9821217888545372,0.9834008254305047,0.001279036575967507,0.10000000149011612,0.10000000149011612,0.0,0.022539770877514704,0.02031625744038797
Mouse,POLYIC_20190614_polyic___E4_P1_5,0.9817799368095277,0.9831612315319868,0.00138129472245907,0.10000000149011612,0.10000000149011612,0.0,0.02219739145926697,0.019916888044716623
Mouse,POLYIC_20190618_mouse33__E3_P1,0.9806378487886942,0.981704647984206,0.0010667991955117806,0.10000000149011612,0.10000000149011612,0.0,0.023970804621528136,0.02226135346715708
Mouse,POLYIC_20190618_mouse34__E3_P1,0.9807221321808032,0.9818636085846785,0.0011414764038752967,0.10000000149011612,0.10000000149011612,0.0,0.024129337130656296,0.02297645380727205
Mouse,POLYIC_20190618_mouse35__E3_P1,0.9811905903653875,0.9812064343163539,1.5843950966432097e-05,0.10000000149011612,0.10000000149011612,0.0,0.02278769567022354,0.022868475484106213
Mouse,POLYIC_20190618_mouse36__E3_P1,0.9813942635913478,0.982910708885913,0.001516445294565183,0.10000000149011612,0.10000000149011612,0.0,0.022459627007651896,0.01936520122821553
Mouse,POLYIC_20190619_mouse38__E3_P1,0.9795827903224377,0.9793403054272619,-0.0002424848951757541,0.10000000149011612,0.10000000149011612,0.0,0.025345486174946457,0.02595556867956701
Mouse,POLYIC_20190619_mouse39__E3_P1,0.9816612079242863,0.9834737747205503,0.0018125667962639591,0.10000000149011612,0.10000000149011612,0.0,0.022433551598412992,0.01981336329349132
Mouse,POLYIC_20190619_mouse42__E3_P1,0.9819466857670501,0.9824502208321978,0.0005035350651476644,0.10000000149011612,0.10000000149011612,0.0,0.021270493845654537,0.020751759239041215
Mouse,POLYIC_20190619_mouse43__E3_P1,0.9823107945408468,0.9831091017571576,0.0007983072163108007,0.10000000149011612,0.10000000149011612,0.0,0.02099578060472869,0.01974204830665177
Mouse,POLYIC_20190628_mouse33__E3_P1,0.9822463879597192,0.9829414880345285,0.0006951000748093294,0.10000000149011612,0.10000000149011612,0.0,0.021207623090680215,0.020259423980403396
Mouse,POLYIC_20190628_mouse34__E6_P1,0.9815154306359157,0.9817201802059496,0.00020474957003391303,0.10000000149011612,0.10000000149011612,0.0,0.022105979448186836,0.022358820399154152
Mouse,POLYIC_20190628_mouse35__E3_P1,0.9818923121822878,0.983706774185121,0.0018144620028331948,0.10000000149011612,0.10000000149011612,0.0,0.022456243835319703,0.019359507223686057
Mouse,POLYIC_20190628_mouse36__E3_P1,0.9818653068461,0.9829253691071443,0.001060062261044381,0.10000000149011612,0.10000000149011612,0.0,0.021095016996685707,0.020070925287130597
Mouse,POLYIC_20190629_polyic_mo__E3_P1,0.9825648806265436,0.9832663556836243,0.000701475057080736,0.10000000149011612,0.10000000149011612,0.0,0.0208123997290862,0.01940698365749995
Mouse,POLYIC_20190629_polyic_mo__E3_P1_1,0.9778829788991887,0.979796892084424,0.0019139131852352609,0.20000000298023224,0.10000000149011612,-0.10000000149011612,0.03220919818100256,0.028631913080155405
Mouse,POLYIC_20190629_polyic_mo__E3_P1_2,0.9798559059188421,0.982334527747895,0.002478621829052896,0.10000000149011612,0.10000000149011612,0.0,0.025250253400660404,0.02057847520172739
Mouse,POLYIC_20190629_polyic_mo__E3_P1_3,0.9802870714134442,0.9805878562748922,0.0003007848614480224,0.10000000149011612,0.10000000149011612,0.0,0.02920081505268195,0.02847807837182092
Mouse,POLYIC_20190629_polyic_mo__E3_P1_5,0.9813578375432201,0.9839284118615724,0.002570574318352281,0.10000000149011612,0.10000000149011612,0.0,0.022598591648016985,0.018301731189539736
Mouse,POLYIC_20190629_polyic_mo__E4_P1_2,0.9819406509908615,0.9834034950818326,0.0014628440909710827,0.10000000149011612,0.10000000149011612,0.0,0.022563394823380337,0.020177679867737035
Mouse,POLYIC_20190629_polyic_mo__E4_P1_4,0.9810138170360435,0.9825932110967214,0.0015793940606778634,0.10000000149011612,0.10000000149011612,0.0,0.022905076480833418,0.02083473300049723
