domain,subject,native_coordinate_axis,candidate_factor_pixels,expected_level1_footprint_pixels,expert_best_residue,expert_max_alignment_fraction,prediction_best_residue,prediction_max_alignment_fraction,prediction_minus_expert_alignment,expert_transition_count,prediction_transition_count,condition
CAMRI,099,y,8,4.999999925494195,4,0.16031331592689296,3,0.22155217619297327,0.0612388602660803,3830,3814,baseline_128
CAMRI,099,x,2,3.1999998807907124,0,0.5771979985704074,0,0.5034843205574913,-0.07371367801291617,2798,2870,higher_res_192
CAMRI,099,x,3,3.1999998807907124,2,0.34774839170836314,1,0.35958188153310106,0.01183348982473792,2798,2870,higher_res_192
CAMRI,099,x,4,3.1999998807907124,0,0.28984989278055756,2,0.27038327526132405,-0.01946661751923351,2798,2870,higher_res_192
CAMRI,099,x,5,3.1999998807907124,0,0.21622587562544673,0,0.20905923344947736,-0.007166642175969379,2798,2870,higher_res_192
CAMRI,099,x,6,3.1999998807907124,2,0.20836311651179415,1,0.18292682926829268,-0.02543628724350147,2798,2870,higher_res_192
CAMRI,099,x,7,3.1999998807907124,4,0.1529664045746962,4,0.1616724738675958,0.008706069292899604,2798,2870,higher_res_192
CAMRI,099,x,8,3.1999998807907124,0,0.14653323802716225,7,0.14006968641114984,-0.0064635516160124196,2798,2870,higher_res_192
CAMRI,099,y,2,4.999999925494195,0,0.5454308093994779,0,0.55,0.004569190600522188,3830,3860,higher_res_192
CAMRI,099,y,3,4.999999925494195,1,0.3488250652741514,0,0.40362694300518137,0.05480187773102996,3830,3860,higher_res_192
CAMRI,099,y,4,4.999999925494195,0,0.283289817232376,0,0.2955958549222798,0.012306037689903793,3830,3860,higher_res_192
CAMRI,099,y,5,4.999999925494195,1,0.21775456919060052,0,0.3417098445595855,0.12395527536898496,3830,3860,higher_res_192
CAMRI,099,y,6,4.999999925494195,4,0.20678851174934726,3,0.20466321243523317,-0.002125299314114093,3830,3860,higher_res_192
CAMRI,099,y,7,4.999999925494195,6,0.16736292428198432,5,0.19326424870466322,0.025901324422678895,3830,3860,higher_res_192
CAMRI,099,y,8,4.999999925494195,4,0.16031331592689296,3,0.1743523316062176,0.01403901567932464,3830,3860,higher_res_192
Mouse,POLYIC_20190510_mouse34__E2_P1,x,2,3.1999998807907124,1,0.5078082929456113,0,0.5214659685863874,0.013657675640776135,3714,3820,baseline_128
Mouse,POLYIC_20190510_mouse34__E2_P1,x,3,3.1999998807907124,2,0.3373721055465805,0,0.35340314136125656,0.016031035814676076,3714,3820,baseline_128
Mouse,POLYIC_20190510_mouse34__E2_P1,x,4,3.1999998807907124,3,0.2549811523963382,2,0.27827225130890054,0.02329109891256237,3714,3820,baseline_128
Mouse,POLYIC_20190510_mouse34__E2_P1,x,5,3.1999998807907124,2,0.20597738287560582,4,0.22670157068062827,0.020724187805022443,3714,3820,baseline_128
Mouse,POLYIC_20190510_mouse34__E2_P1,x,6,3.1999998807907124,1,0.1752827140549273,0,0.19240837696335078,0.01712566290842349,3714,3820,baseline_128
Mouse,POLYIC_20190510_mouse34__E2_P1,x,7,3.1999998807907124,6,0.16478190630048464,0,0.16806282722513088,0.003280920924646241,3714,3820,baseline_128
Mouse,POLYIC_20190510_mouse34__E2_P1,x,8,3.1999998807907124,7,0.13597199784598815,6,0.15209424083769635,0.016122242991708197,3714,3820,baseline_128
Mouse,POLYIC_20190510_mouse34__E2_P1,y,2,4.999999925494195,1,0.503001200480192,0,0.5364185110663984,0.03341731058620634,4998,4970,baseline_128
Mouse,POLYIC_20190510_mouse34__E2_P1,y,3,4.999999925494195,2,0.33693477390956383,2,0.4052313883299799,0.06829661442041607,4998,4970,baseline_128
Mouse,POLYIC_20190510_mouse34__E2_P1,y,4,4.999999925494195,2,0.27450980392156865,0,0.3028169014084507,0.028307097486882038,4998,4970,baseline_128
Mouse,POLYIC_20190510_mouse34__E2_P1,y,5,4.999999925494195,1,0.22008803521408563,2,0.5130784708249497,0.29299043561086413,4998,4970,baseline_128
Mouse,POLYIC_20190510_mouse34__E2_P1,y,6,4.999999925494195,2,0.18007202881152462,2,0.2398390342052314,0.059767005393706774,4998,4970,baseline_128
Mouse,POLYIC_20190510_mouse34__E2_P1,y,7,4.999999925494195,0,0.16666666666666666,5,0.17645875251509055,0.009792085848423893,4998,4970,baseline_128
Mouse,POLYIC_20190510_mouse34__E2_P1,y,8,4.999999925494195,6,0.1404561824729892,4,0.19517102615694165,0.05471484368395246,4998,4970,baseline_128
Mouse,POLYIC_20190510_mouse34__E2_P1,x,2,3.1999998807907124,1,0.5078082929456113,0,0.5065410779696494,-0.0012672149759618279,3714,3822,higher_res_192
Mouse,POLYIC_20190510_mouse34__E2_P1,x,3,3.1999998807907124,2,0.3373721055465805,2,0.3492935635792779,0.011921458032697396,3714,3822,higher_res_192
Mouse,POLYIC_20190510_mouse34__E2_P1,x,4,3.1999998807907124,3,0.2549811523963382,2,0.26321297749869177,0.008231825102353596,3714,3822,higher_res_192
Mouse,POLYIC_20190510_mouse34__E2_P1,x,5,3.1999998807907124,2,0.20597738287560582,3,0.2153322867608582,0.00935490388525237,3714,3822,higher_res_192
Mouse,POLYIC_20190510_mouse34__E2_P1,x,6,3.1999998807907124,1,0.1752827140549273,2,0.18628990057561487,0.011007186520687579,3714,3822,higher_res_192
Mouse,POLYIC_20190510_mouse34__E2_P1,x,7,3.1999998807907124,6,0.16478190630048464,0,0.15907901622187337,-0.005702890078611272,3714,3822,higher_res_192
Mouse,POLYIC_20190510_mouse34__E2_P1,x,8,3.1999998807907124,7,0.13597199784598815,6,0.1425954997383569,0.006623501892368738,3714,3822,higher_res_192
Mouse,POLYIC_20190510_mouse34__E2_P1,y,2,4.999999925494195,1,0.503001200480192,1,0.503921568627451,0.000920368147258932,4998,5100,higher_res_192
Mouse,POLYIC_20190510_mouse34__E2_P1,y,3,4.999999925494195,2,0.33693477390956383,2,0.36941176470588233,0.032476990796318495,4998,5100,higher_res_192
Mouse,POLYIC_20190510_mouse34__E2_P1,y,4,4.999999925494195,2,0.27450980392156865,0,0.266078431372549,-0.008431372549019656,4998,5100,higher_res_192
Mouse,POLYIC_20190510_mouse34__E2_P1,y,5,4.999999925494195,1,0.22008803521408563,2,0.3452941176470588,0.12520608243297318,4998,5100,higher_res_192
Mouse,POLYIC_20190510_mouse34__E2_P1,y,6,4.999999925494195,2,0.18007202881152462,2,0.20490196078431372,0.0248299319727891,4998,5100,higher_res_192
Mouse,POLYIC_20190510_mouse34__E2_P1,y,7,4.999999925494195,0,0.16666666666666666,2,0.1688235294117647,0.002156862745098048,4998,5100,higher_res_192
Mouse,POLYIC_20190510_mouse34__E2_P1,y,8,4.999999925494195,6,0.1404561824729892,4,0.17705882352941177,0.03660264105642258,4998,5100,higher_res_192
Mouse,POLYIC_20190510_mouse35__E3_P1,x,2,3.1999998807907124,1,0.5024403470715835,1,0.50320341697811,0.0007630699065265256,3688,3746,baseline_128
Mouse,POLYIC_20190510_mouse35__E3_P1,x,3,3.1999998807907124,0,0.3405639913232104,2,0.3416978109983983,0.001133819675187886,3688,3746,baseline_128
Mouse,POLYIC_20190510_mouse35__E3_P1,x,4,3.1999998807907124,0,0.25488069414316705,2,0.2608115323011212,0.005930838157954144,3688,3746,baseline_128
Mouse,POLYIC_20190510_mouse35__E3_P1,x,5,3.1999998807907124,4,0.20715835140997832,1,0.21009076348104644,0.002932412071068119,3688,3746,baseline_128
Mouse,POLYIC_20190510_mouse35__E3_P1,x,6,3.1999998807907124,0,0.17814533622559653,5,0.18873465029364656,0.010589314068050026,3688,3746,baseline_128
Mouse,POLYIC_20190510_mouse35__E3_P1,x,7,3.1999998807907124,5,0.1531995661605206,0,0.15082754938601176,-0.0023720167745088505,3688,3746,baseline_128
Mouse,POLYIC_20190510_mouse35__E3_P1,x,8,3.1999998807907124,0,0.13964208242950107,1,0.15403096636412172,0.01438888393462065,3688,3746,baseline_128
Mouse,POLYIC_20190510_mouse35__E3_P1,y,2,4.999999925494195,0,0.5201785021342646,0,0.515982636148382,-0.004195865985882619,5154,5068,baseline_128
Mouse,POLYIC_20190510_mouse35__E3_P1,y,3,4.999999925494195,0,0.3409002716336826,2,0.4228492501973165,0.08194897856363392,5154,5068,baseline_128
Mouse,POLYIC_20190510_mouse35__E3_P1,y,4,4.999999925494195,2,0.286767559177338,0,0.292817679558011,0.006050120380673041,5154,5068,baseline_128
Mouse,POLYIC_20190510_mouse35__E3_P1,y,5,4.999999925494195,3,0.2173069460613116,0,0.5021704814522494,0.2848635353909378,5154,5068,baseline_128
Mouse,POLYIC_20190510_mouse35__E3_P1,y,6,4.999999925494195,2,0.17889018238261545,2,0.23579321231254932,0.056903029929933874,5154,5068,baseline_128
Mouse,POLYIC_20190510_mouse35__E3_P1,y,7,4.999999925494195,3,0.18257663950329842,5,0.18804262036306235,0.005465980859763936,5154,5068,baseline_128
Mouse,POLYIC_20190510_mouse35__E3_P1,y,8,4.999999925494195,6,0.16627861854870005,1,0.1941594317284925,0.027880813179792463,5154,5068,baseline_128
Mouse,POLYIC_20190510_mouse35__E3_P1,x,2,3.1999998807907124,1,0.5024403470715835,1,0.5071164997364259,0.004676152664842448,3688,3794,higher_res_192
Mouse,POLYIC_20190510_mouse35__E3_P1,x,3,3.1999998807907124,0,0.3405639913232104,1,0.3352662098049552,-0.005297781518255218,3688,3794,higher_res_192
Mouse,POLYIC_20190510_mouse35__E3_P1,x,4,3.1999998807907124,0,0.25488069414316705,3,0.25724828676858197,0.002367592625414916,3688,3794,higher_res_192
Mouse,POLYIC_20190510_mouse35__E3_P1,x,5,3.1999998807907124,4,0.20715835140997832,4,0.2113863995782815,0.004228048168303189,3688,3794,higher_res_192
Mouse,POLYIC_20190510_mouse35__E3_P1,x,6,3.1999998807907124,0,0.17814533622559653,5,0.1776489193463363,-0.0004964168792602197,3688,3794,higher_res_192
Mouse,POLYIC_20190510_mouse35__E3_P1,x,7,3.1999998807907124,5,0.1531995661605206,1,0.15155508697944123,-0.001644479181079378,3688,3794,higher_res_192
Mouse,POLYIC_20190510_mouse35__E3_P1,x,8,3.1999998807907124,0,0.13964208242950107,0,0.1462836056931998,0.006641523263698712,3688,3794,higher_res_192
Mouse,POLYIC_20190510_mouse35__E3_P1,y,2,4.999999925494195,0,0.5201785021342646,1,0.5104006163328197,-0.009777885801444897,5154,5192,higher_res_192
Mouse,POLYIC_20190510_mouse35__E3_P1,y,3,4.999999925494195,0,0.3409002716336826,2,0.362095531587057,0.0211952599533744,5154,5192,higher_res_192
Mouse,POLYIC_20190510_mouse35__E3_P1,y,4,4.999999925494195,2,0.286767559177338,0,0.2733050847457627,-0.013462474431575278,5154,5192,higher_res_192
Mouse,POLYIC_20190510_mouse35__E3_P1,y,5,4.999999925494195,3,0.2173069460613116,2,0.34726502311248075,0.12995807705116916,5154,5192,higher_res_192
Mouse,POLYIC_20190510_mouse35__E3_P1,y,6,4.999999925494195,2,0.17889018238261545,3,0.20088597842835132,0.02199579604573587,5154,5192,higher_res_192
Mouse,POLYIC_20190510_mouse35__E3_P1,y,7,4.999999925494195,3,0.18257663950329842,2,0.17122496147919877,-0.011351678024099643,5154,5192,higher_res_192
Mouse,POLYIC_20190510_mouse35__E3_P1,y,8,4.999999925494195,6,0.16627861854870005,4,0.1893297380585516,0.02305111950985156,5154,5192,higher_res_192
Mouse,POLYIC_20190510_mouse37__E2_P1,x,2,3.1999998807907124,1,0.5043037974683544,0,0.5113636363636364,0.007059838895281945,3950,4048,baseline_128
Mouse,POLYIC_20190510_mouse37__E2_P1,x,3,3.1999998807907124,1,0.35037974683544304,1,0.36462450592885376,0.01424475909341072,3950,4048,baseline_128
Mouse,POLYIC_20190510_mouse37__E2_P1,x,4,3.1999998807907124,3,0.2665822784810127,2,0.26704545454545453,0.00046317606444185033,3950,4048,baseline_128
Mouse,POLYIC_20190510_mouse37__E2_P1,x,5,3.1999998807907124,3,0.2078481012658228,4,0.21294466403162055,0.0050965627657977575,3950,4048,baseline_128
Mouse,POLYIC_20190510_mouse37__E2_P1,x,6,3.1999998807907124,1,0.17873417721518986,4,0.18626482213438736,0.007530644919197499,3950,4048,baseline_128
Mouse,POLYIC_20190510_mouse37__E2_P1,x,7,3.1999998807907124,2,0.149873417721519,4,0.15143280632411066,0.001559388602591666,3950,4048,baseline_128
Mouse,POLYIC_20190510_mouse37__E2_P1,x,8,3.1999998807907124,7,0.13341772151898734,6,0.1390810276679842,0.0056633061489968495,3950,4048,baseline_128
